Posture,Direction,Type,Head Contribution,Trunk Contribution
Standing,Right,Yaw,66.84,33.16
Standing,Right,Pitch,62.57,37.43
Standing,UpRight,Yaw,68.83,31.17
Standing,UpRight,Pitch,57.94,42.06
Standing,Up,Yaw,52.93,47.07
Standing,Up,Pitch,54.17,45.83
Standing,UpLeft,Yaw,67.53,32.47
Standing,UpLeft,Pitch,52.47,47.53
Standing,Left,Yaw,65.33,34.67
Standing,Left,Pitch,52.23,47.77
Standing,DownLeft,Yaw,62.56,37.44
Standing,DownLeft,Pitch,62.76,37.24
Standing,Down,Yaw,50.98,49.02
Standing,Down,Pitch,66.16,33.84
Standing,DownRight,Yaw,60.8,39.2
Standing,DownRight,Pitch,71.28,28.72
Lying,Right,Yaw,53.55,46.45
Lying,Right,Pitch,58.69,41.31
Lying,UpRight,Yaw,50.36,49.64
Lying,UpRight,Pitch,51.37,48.63
Lying,Up,Yaw,51.68,48.32
Lying,Up,Pitch,51.1,48.9
Lying,UpLeft,Yaw,54.1,45.9
Lying,UpLeft,Pitch,59.71,40.29
Lying,Left,Yaw,57.52,42.48
Lying,Left,Pitch,50.89,49.11
Lying,DownLeft,Yaw,55.18,44.82
Lying,DownLeft,Pitch,59.46,40.54
Lying,Down,Yaw,90.91,9.09
Lying,Down,Pitch,51.14,48.86
Lying,DownRight,Yaw,83.36,16.64
Lying,DownRight,Pitch,51.07,48.93
