Participant,Posture,Direction,Range
1,Standing,Right,64.40690333333333
2,Standing,Right,147.57763333333335
3,Standing,Right,156.8731
4,Standing,Right,106.30885
5,Standing,Right,161.00383333333332
6,Standing,Right,185.173
7,Standing,Right,114.5083
8,Standing,Right,99.73667666666667
9,Standing,Right,182.35783333333333
10,Standing,Right,88.36811
11,Standing,Right,161.65003333333334
12,Standing,Right,176.45676666666668
13,Standing,Right,63.15234
14,Standing,Right,81.90930333333334
15,Standing,Right,181.33963333333335
16,Standing,Right,94.29177333333332
1,Standing,UpRight,46.73921333333333
2,Standing,UpRight,138.05773333333335
3,Standing,UpRight,161.096
4,Standing,UpRight,89.81452666666667
5,Standing,UpRight,138.2361
6,Standing,UpRight,188.06466666666665
7,Standing,UpRight,84.18295333333333
8,Standing,UpRight,98.08453000000002
9,Standing,UpRight,174.0961
10,Standing,UpRight,69.06542
11,Standing,UpRight,128.03676666666667
12,Standing,UpRight,166.11926666666668
13,Standing,UpRight,57.56228333333333
14,Standing,UpRight,72.63375666666667
15,Standing,UpRight,175.20183333333333
16,Standing,UpRight,72.34677666666667
1,Standing,Up,59.603829999999995
2,Standing,Up,93.05354
3,Standing,Up,118.57566666666666
4,Standing,Up,67.35263333333333
5,Standing,Up,118.5335
6,Standing,Up,101.50686333333333
7,Standing,Up,83.69559
8,Standing,Up,62.19121333333334
9,Standing,Up,127.43490000000001
10,Standing,Up,71.85755666666667
11,Standing,Up,72.97531333333335
12,Standing,Up,87.10111333333333
13,Standing,Up,57.48262
14,Standing,Up,61.85229666666667
15,Standing,Up,86.40077000000001
16,Standing,Up,79.44808333333333
1,Standing,UpLeft,70.33878666666668
2,Standing,UpLeft,157.3493
3,Standing,UpLeft,167.61986666666667
4,Standing,UpLeft,77.71718333333332
5,Standing,UpLeft,117.08633333333334
6,Standing,UpLeft,193.7983
7,Standing,UpLeft,130.22313333333332
8,Standing,UpLeft,99.22943666666667
9,Standing,UpLeft,194.47273333333337
10,Standing,UpLeft,94.73366666666668
11,Standing,UpLeft,153.09056666666666
12,Standing,UpLeft,168.2437666666667
13,Standing,UpLeft,68.31960666666667
14,Standing,UpLeft,73.7543
15,Standing,UpLeft,178.34905
16,Standing,UpLeft,74.84186
1,Standing,Left,80.39258666666667
2,Standing,Left,154.41049999999998
3,Standing,Left,187.05790000000002
4,Standing,Left,96.51893666666668
5,Standing,Left,156.46123333333333
6,Standing,Left,190.62783333333334
7,Standing,Left,96.16293333333333
8,Standing,Left,108.22683333333333
9,Standing,Left,208.71703333333335
10,Standing,Left,91.94009666666666
11,Standing,Left,152.7313333333333
12,Standing,Left,172.69473333333335
13,Standing,Left,81.86213
14,Standing,Left,71.81671666666666
15,Standing,Left,172.08069999999998
16,Standing,Left,91.75534333333333
1,Standing,DownLeft,76.00340666666666
2,Standing,DownLeft,136.03943333333333
3,Standing,DownLeft,184.4438
4,Standing,DownLeft,68.89961333333333
5,Standing,DownLeft,65.29818999999999
6,Standing,DownLeft,179.84986666666668
7,Standing,DownLeft,81.96020333333333
8,Standing,DownLeft,99.18065666666666
9,Standing,DownLeft,210.9467
10,Standing,DownLeft,70.92072333333333
11,Standing,DownLeft,148.77396666666667
12,Standing,DownLeft,191.90966666666668
13,Standing,DownLeft,68.38491
14,Standing,DownLeft,66.22819333333332
15,Standing,DownLeft,195.91729999999998
16,Standing,DownLeft,88.21210333333333
1,Standing,Down,54.57196666666667
2,Standing,Down,91.53170666666666
3,Standing,Down,145.2497
4,Standing,Down,61.04789333333333
5,Standing,Down,80.56206666666667
6,Standing,Down,79.95766666666667
7,Standing,Down,87.85894666666667
8,Standing,Down,71.19089333333334
9,Standing,Down,168.38353333333333
10,Standing,Down,53.66269333333333
11,Standing,Down,67.08181333333333
12,Standing,Down,147.87376666666668
13,Standing,Down,69.96409999999999
14,Standing,Down,52.3615
15,Standing,Down,115.16063333333334
16,Standing,Down,66.42929
1,Standing,DownRight,55.80247333333333
2,Standing,DownRight,120.71036666666667
3,Standing,DownRight,152.56616666666665
4,Standing,DownRight,69.04055666666666
5,Standing,DownRight,83.62923333333333
6,Standing,DownRight,171.19743333333335
7,Standing,DownRight,101.07516
8,Standing,DownRight,106.64663333333333
9,Standing,DownRight,211.7316
10,Standing,DownRight,78.19194333333333
11,Standing,DownRight,157.81806666666668
12,Standing,DownRight,175.05956666666665
13,Standing,DownRight,69.34327333333333
14,Standing,DownRight,64.99096666666667
15,Standing,DownRight,163.81589999999997
16,Standing,DownRight,79.70913
1,Lying,Right,49.16281
2,Lying,Right,58.710566666666665
3,Lying,Right,82.89819
4,Lying,Right,66.50233333333334
5,Lying,Right,70.49
6,Lying,Right,177.09470166666665
7,Lying,Right,59.42395666666667
8,Lying,Right,51.177616666666665
9,Lying,Right,98.97708999999999
10,Lying,Right,23.796660000000003
11,Lying,Right,74.31821333333333
12,Lying,Right,82.59014666666667
13,Lying,Right,49.26221666666667
14,Lying,Right,60.230713333333334
15,Lying,Right,64.49804
16,Lying,Right,41.60899666666666
1,Lying,UpRight,40.41997666666666
2,Lying,UpRight,48.72355666666667
3,Lying,UpRight,74.71390333333333
4,Lying,UpRight,45.18036333333333
5,Lying,UpRight,62.81504
6,Lying,UpRight,82.43508666666666
7,Lying,UpRight,33.28113333333334
