participant,posture,direction,fatigue
1,Standing,0,2
1,Standing,45,3
1,Standing,90,1
1,Standing,135,3
1,Standing,180,1
1,Standing,225,1
1,Standing,270,2
1,Standing,315,2
1,Lying,0,3
1,Lying,45,1
1,Lying,90,1
1,Lying,135,4
1,Lying,180,4
1,Lying,225,3
1,Lying,270,4
1,Lying,315,6
2,Standing,0,1
2,Standing,45,3
2,Standing,90,3
2,Standing,135,2
2,Standing,180,1
2,Standing,225,2
2,Standing,270,1
2,Standing,315,2
2,Lying,0,2
2,Lying,45,5
2,Lying,90,4
2,Lying,135,5
2,Lying,180,2
2,Lying,225,6
2,Lying,270,5
2,Lying,315,6
3,Standing,0,1
3,Standing,45,3
3,Standing,90,4
3,Standing,135,2
3,Standing,180,2
3,Standing,225,2
3,Standing,270,1
3,Standing,315,1
3,Lying,0,5
3,Lying,45,5
3,Lying,90,3
3,Lying,135,3
3,Lying,180,4
3,Lying,225,5
3,Lying,270,5
3,Lying,315,6
4,Standing,0,2
4,Standing,45,1
4,Standing,90,2
4,Standing,135,2
4,Standing,180,3
4,Standing,225,4
4,Standing,270,3
4,Standing,315,3
4,Lying,0,3
4,Lying,45,3
4,Lying,90,3
4,Lying,135,3
4,Lying,180,2
4,Lying,225,6
4,Lying,270,5
4,Lying,315,6
5,Standing,0,1
5,Standing,45,1
5,Standing,90,1
5,Standing,135,1
5,Standing,180,1
5,Standing,225,1
5,Standing,270,2
5,Standing,315,1
5,Lying,0,4
5,Lying,45,6
5,Lying,90,4
5,Lying,135,6
5,Lying,180,4
5,Lying,225,4
5,Lying,270,2
5,Lying,315,3
6,Standing,0,2
6,Standing,45,3
6,Standing,90,3
6,Standing,135,2
6,Standing,180,2
6,Standing,225,3
6,Standing,270,3
6,Standing,315,3
6,Lying,0,3
6,Lying,45,3
6,Lying,90,2
6,Lying,135,2
6,Lying,180,3
6,Lying,225,6
6,Lying,270,5
6,Lying,315,7
7,Standing,0,3
7,Standing,45,3
7,Standing,90,4
7,Standing,135,4
7,Standing,180,3
7,Standing,225,3
7,Standing,270,2
7,Standing,315,3
7,Lying,0,3
7,Lying,45,4
7,Lying,90,5
7,Lying,135,5
7,Lying,180,3
7,Lying,225,5
7,Lying,270,5
7,Lying,315,5
8,Standing,0,2
8,Standing,45,4
8,Standing,90,2
8,Standing,135,3
8,Standing,180,3
8,Standing,225,4
8,Standing,270,2
8,Standing,315,2
8,Lying,0,2
8,Lying,45,6
8,Lying,90,5
8,Lying,135,6
8,Lying,180,5
8,Lying,225,4
8,Lying,270,4
8,Lying,315,5
9,Standing,0,2
9,Standing,45,1
9,Standing,90,1
9,Standing,135,2
9,Standing,180,1
9,Standing,225,1
9,Standing,270,1
9,Standing,315,2
9,Lying,0,1
9,Lying,45,3
9,Lying,90,1
9,Lying,135,3
9,Lying,180,2
9,Lying,225,1
9,Lying,270,2
9,Lying,315,3
10,Standing,0,1
10,Standing,45,2
10,Standing,90,1
10,Standing,135,2
10,Standing,180,1
10,Standing,225,2
10,Standing,270,2
10,Standing,315,1
10,Lying,0,3
10,Lying,45,5
10,Lying,90,3
10,Lying,135,4
10,Lying,180,3
10,Lying,225,5
10,Lying,270,3
10,Lying,315,4
11,Standing,0,2
11,Standing,45,4
11,Standing,90,3
11,Standing,135,4
11,Standing,180,2
11,Standing,225,2
11,Standing,270,2
11,Standing,315,3
11,Lying,0,3
11,Lying,45,6
11,Lying,90,4
11,Lying,135,3
11,Lying,180,5
11,Lying,225,3
11,Lying,270,5
11,Lying,315,4
12,Standing,0,1
12,Standing,45,1
12,Standing,90,1
12,Standing,135,1
12,Standing,180,1
12,Standing,225,1
12,Standing,270,1
12,Standing,315,1
12,Lying,0,1
12,Lying,45,2
12,Lying,90,1
12,Lying,135,2
12,Lying,180,4
12,Lying,225,5
12,Lying,270,6
12,Lying,315,7
13,Standing,0,4
13,Standing,45,5
13,Standing,90,4
13,Standing,135,5
13,Standing,180,4
13,Standing,225,6
13,Standing,270,3
13,Standing,315,5
13,Lying,0,4
13,Lying,45,7
13,Lying,90,4
13,Lying,135,5
13,Lying,180,4
13,Lying,225,6
13,Lying,270,7
13,Lying,315,6
