Posture,Direction,Mean,Std
Standing,Right,1.875,0.8850612031567836
Standing,UpRight,2.4375,1.2632629707758134
Standing,Up,2.125,1.2041594578792296
Standing,UpLeft,2.3125,1.1954775893619531
Standing,Left,1.8125,0.9810708435174291
Standing,DownLeft,2.3125,1.4476993242152645
Standing,Down,1.875,0.8062257748298549
Standing,DownRight,2.0625,1.1236102527122116
Lying,Right,2.9375,1.2893796958227626
Lying,UpRight,4.3125,1.778341924377874
Lying,Up,3.125,1.5
Lying,UpLeft,4.0,1.632993161855452
Lying,Left,3.4375,1.2093386622447824
Lying,DownLeft,4.5,1.5491933384829668
Lying,Down,4.375,1.5
Lying,DownRight,5.0625,1.4818344486930155
