Direction,tCount,Time,StartRotation,HeadRotation,HeadYaw,HeadPitch,TrunkRotation,TrunkYaw,TrunkPitch
Left,1,13.98492,(0.00096* -0.43453* 0.03712* -0.89989),(0.01678* -0.47982* 0.04809* -0.87589),0.0,-0.0,(0.03283* -0.00858* -0.03073* 0.99895),0.0,0.0
Left,1,14.02252,(0.00096* -0.43453* 0.03712* -0.89989),(0.01593* -0.48032* 0.04975* -0.87554),0.06954622,-0.0184021,(0.03301* -0.00902* -0.03028* 0.99896),-0.05282593,0.01535034
Left,1,14.04261,(0.00096* -0.43453* 0.03712* -0.89989),(0.01535* -0.48058* 0.05047* -0.87536),0.1038523,-0.04949951,(0.03284* -0.00938* -0.03010* 0.99896),-0.09338379,0.04345703
Left,1,14.0707,(0.00096* -0.43453* 0.03712* -0.89989),(0.01497* -0.48060* 0.05088* -0.87534),0.1062717,-0.07128906,(0.03294* -0.00964* -0.03000* 0.99896),-0.1240845,0.0418396
Left,1,14.09529,(0.00096* -0.43453* 0.03712* -0.89989),(0.01501* -0.48060* 0.05076* -0.87534),0.1055789,-0.07287598,(0.03303* -0.00974* -0.02982* 0.99896),-0.1352844,0.04641724
Left,1,14.12311,(0.00096* -0.43453* 0.03712* -0.89989),(0.01507* -0.48036* 0.05072* -0.87547),0.07531595,-0.06665039,(0.03312* -0.00982* -0.02990* 0.99896),-0.144989,0.03237915
Left,1,14.15194,(0.00096* -0.43453* 0.03712* -0.89989),(0.01540* -0.48050* 0.05094* -0.87538),0.09651423,-0.02288818,(0.03338* -0.00980* -0.03016* 0.99894),-0.144165,-0.009735107
Left,1,14.18071,(0.00096* -0.43453* 0.03712* -0.89989),(0.01617* -0.48085* 0.05102* -0.87517),0.1467638,0.05981445,(0.03321* -0.00979* -0.03069* 0.99893),-0.1408081,-0.03134155
Left,1,14.20895,(0.00096* -0.43453* 0.03712* -0.89989),(0.01692* -0.48143* 0.05141* -0.87481),0.2287788,0.1535339,(0.03357* -0.00995* -0.03068* 0.99892),-0.1616516,-0.06265259
Left,1,14.23707,(0.00096* -0.43453* 0.03712* -0.89989),(0.01767* -0.48186* 0.05180* -0.87454),0.2907495,0.2472534,(0.03366* -0.01020* -0.03102* 0.99890),-0.1898499,-0.09533691
Left,1,14.26499,(0.00096* -0.43453* 0.03712* -0.89989),(0.01828* -0.48214* 0.05216* -0.87435),0.3325415,0.3269043,(0.03377* -0.01063* -0.03100* 0.99889),-0.2400208,-0.1031799
Left,1,14.29287,(0.00096* -0.43453* 0.03712* -0.89989),(0.01840* -0.48237* 0.05270* -0.87419),0.3657894,0.3612976,(0.03377* -0.01108* -0.03055* 0.99890),-0.292572,-0.07211304
Left,1,14.32115,(0.00096* -0.43453* 0.03712* -0.89989),(0.01827* -0.48253* 0.05317* -0.87407),0.388833,0.3676453,(0.03370* -0.01143* -0.03054* 0.99890),-0.3323364,-0.06427002
Left,1,14.34877,(0.00096* -0.43453* 0.03712* -0.89989),(0.01811* -0.48308* 0.05406* -0.87372),0.4647059,0.3864441,(0.03371* -0.01196* -0.03052* 0.99889),-0.392334,-0.06427002
Left,1,14.37668,(0.00096* -0.43453* 0.03712* -0.89989),(0.01776* -0.48364* 0.05535* -0.87334),0.5434408,0.4037781,(0.03348* -0.01275* -0.03059* 0.99889),-0.4811707,-0.04699707
