Direction,tCount,Time,StartRotation,HeadRotation,HeadYaw,HeadPitch,TrunkRotation,TrunkYaw,TrunkPitch
DownRight,1,5.433674,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67839* -0.19571* -0.18542* 0.68345),-0.0,-0.0,(0.58974* -0.53707* 0.47681* -0.36933),-0.0,-0.0
DownRight,1,5.476777,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67841* -0.19586* -0.18515* 0.68346),-0.03242049,0.01074219,(0.58982* -0.53691* 0.47708* -0.36910),0.02392578,0.03875923
DownRight,1,5.497105,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67844* -0.19581* -0.18508* 0.68347),-0.0326961,0.01239014,(0.58982* -0.53698* 0.47707* -0.36900),0.03475952,0.03824615
DownRight,1,5.523966,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67839* -0.19585* -0.18516* 0.68348),-0.03166583,0.006286621,(0.59019* -0.53665* 0.47725* -0.36866),0.03866577,0.1079407
DownRight,1,5.547474,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67838* -0.19578* -0.18523* 0.68349),-0.02070156,0.00177002,(0.59037* -0.53653* 0.47729* -0.36849),0.04034424,0.1378136
DownRight,1,5.576088,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67853* -0.19558* -0.18555* 0.68331),0.02761006,0.01654053,(0.59061* -0.53627* 0.47745* -0.36828),0.04315186,0.1875916
DownRight,1,5.605202,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67853* -0.19558* -0.18555* 0.68331),0.02766407,0.01623535,(0.59089* -0.53603* 0.47764* -0.36793),0.05731201,0.2468414
DownRight,1,5.63343,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67836* -0.19557* -0.18532* 0.68354),0.001876116,-0.009887695,(0.59068* -0.53611* 0.47772* -0.36805),0.06704712,0.2264137
DownRight,1,5.664289,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67811* -0.19564* -0.18549* 0.68373),-0.0003706515,-0.04708862,(0.59033* -0.53641* 0.47770* -0.36820),0.0859375,0.1756077
DownRight,1,5.689568,(0.65300* 0.18681* 0.19654* -0.70716),(-0.67843* -0.19566* -0.18559* 0.68338),0.01969787,0.003753662,(0.59077* -0.53617* 0.47762* -0.36796),0.06704712,0.2264156
