Direction,tCount,Time,StartRotation,HeadRotation,HeadYaw,HeadPitch,TrunkRotation,TrunkYaw,TrunkPitch
DownRight,1,3.628668,(0.00647* 0.89462* 0.03547* -0.44536),(0.01087* 0.88271* 0.04262* -0.46785),0,0,(-0.15546* 0.02493* -0.06159* 0.98561),0,0
DownRight,1,3.661798,(0.00647* 0.89462* 0.03547* -0.44536),(0.01102* 0.88237* 0.04285* -0.46846),0.07977271,0.01806265,(-0.15555* 0.02545* -0.06091* 0.98562),0.06027222,-0.04766846
DownRight,1,3.705743,(0.00647* 0.89462* 0.03547* -0.44536),(0.01169* 0.88257* 0.04229* -0.46812),0.03789639,-0.07351613,(-0.15577* 0.02566* -0.06163* 0.98554),0.08068848,-0.0140686
DownRight,1,3.73004,(0.00647* 0.89462* 0.03547* -0.44536),(0.01192* 0.88283* 0.04147* -0.46770),-0.01604056,-0.1713693,(-0.15588* 0.02594* -0.06191* 0.98549),0.1117706,-9.155273E-05
DownRight,1,3.759674,(0.00647* 0.89462* 0.03547* -0.44536),(0.01213* 0.88289* 0.04037* -0.46768),-0.01913476,-0.2952128,(-0.15581* 0.02622* -0.06179* 0.98550),0.145462,0.002746582
DownRight,1,3.788586,(0.00647* 0.89462* 0.03547* -0.44536),(0.01237* 0.88302* 0.03975* -0.46748),-0.04418254,-0.373057,(-0.15618* 0.02678* -0.06126* 0.98546),0.2063599,-0.05899048
DownRight,1,3.817075,(0.00647* 0.89462* 0.03547* -0.44536),(0.01236* 0.88319* 0.03975* -0.46717),-0.08420897,-0.3730574,(-0.15627* 0.02686* -0.06124* 0.98545),0.2144318,-0.06738281
DownRight,1,3.845276,(0.00647* 0.89462* 0.03547* -0.44536),(0.01236* 0.88322* 0.03995* -0.46708),-0.09506941,-0.3530545,(-0.15619* 0.02704* -0.06122* 0.98546),0.2363739,-0.05899048
DownRight,1,3.873597,(0.00647* 0.89462* 0.03547* -0.44536),(0.01236* 0.88330* 0.04014* -0.46692),-0.1159289,-0.3330742,(-0.15589* 0.02744* -0.06151* 0.98548),0.2872009,-0.002868652
DownRight,1,3.902038,(0.00647* 0.89462* 0.03547* -0.44536),(0.01199* 0.88311* 0.04015* -0.46730),-0.06903863,-0.3132842,(-0.15597* 0.02753* -0.06141* 0.98547),0.2969818,-0.01687622
DownRight,1,3.929905,(0.00647* 0.89462* 0.03547* -0.44536),(0.01139* 0.88265* 0.03949* -0.46824),0.04895949,-0.3496736,(-0.15598* 0.02759* -0.06157* 0.98545),0.3035126,-0.00567627
DownRight,1,3.958478,(0.00647* 0.89462* 0.03547* -0.44536),(0.01071* 0.88211* 0.03848* -0.46934),0.1878514,-0.4181131,(-0.15611* 0.02793* -0.06201* 0.98540),0.3411102,0.01953125
DownRight,1,3.985576,(0.00647* 0.89462* 0.03547* -0.44536),(0.00994* 0.88166* 0.03751* -0.47028),0.3058674,-0.4785656,(-0.15639* 0.02837* -0.06176* 0.98535),0.3887024,-0.01696777
DownRight,1,4.013389,(0.00647* 0.89462* 0.03547* -0.44536),(0.00972* 0.88131* 0.03685* -0.47100),0.3966935,-0.5346896,(-0.15682* 0.02844* -0.06164* 0.98529),0.3906097,-0.0647583
DownRight,1,4.041831,(0.00647* 0.89462* 0.03547* -0.44536),(0.00963* 0.88117* 0.03591* -0.47134),0.4396563,-0.6268005,(-0.15796* 0.02765* -0.06337* 0.98502),0.2798004,-0.06259155
DownRight,1,4.068895,(0.00647* 0.89462* 0.03547* -0.44536),(0.00923* 0.88103* 0.03514* -0.47167),0.4795659,-0.6870422,(-0.15823* 0.02794* -0.06297* 0.98500),0.3108215,-0.110321
DownRight,1,4.097597,(0.00647* 0.89462* 0.03547* -0.44536),(0.00890* 0.88085* 0.03413* -0.47208),0.5307512,-0.775238,(-0.15833* 0.02842* -0.06255* 0.98499),0.3658752,-0.1411133
DownRight,1,4.125214,(0.00647* 0.89462* 0.03547* -0.44536),(0.00837* 0.88076* 0.03294* -0.47235),0.5609603,-0.8735657,(-0.15843* 0.02854* -0.06278* 0.98496),0.3786011,-0.1328125
DownRight,1,4.152663,(0.00647* 0.89462* 0.03547* -0.44536),(0.00806* 0.88039* 0.03083* -0.47318),0.6651635,-1.075867,(-0.15845* 0.02892* -0.06255* 0.98496),0.4221191,-0.1439819
DownRight,1,4.180569,(0.00647* 0.89462* 0.03547* -0.44536),(0.00678* 0.87999* 0.02876* -0.47407),0.7716634,-1.228607,(-0.15839* 0.02971* -0.06184* 0.98499),0.5164642,-0.1746826
DownRight,1,4.208341,(0.00647* 0.89462* 0.03547* -0.44536),(0.00449* 0.87903* 0.02605* -0.47604),1.012153,-1.397827,(-0.15825* 0.03014* -0.06187* 0.98500),0.5686646,-0.1521912
DownRight,1,4.236576,(0.00647* 0.89462* 0.03547* -0.44536),(0.00230* 0.87772* 0.02280* -0.47863),1.333567,-1.628998,(-0.15832* 0.03091* -0.06225* 0.98494),0.6580963,-0.1186523
DownRight,1,4.264242,(0.00647* 0.89462* 0.03547* -0.44536),(-0.00074* 0.87584* 0.01963* -0.48220),1.778909,-1.812317,(-0.15805* 0.03201* -0.06234* 0.98494),0.7908325,-0.06808472
DownRight,1,4.292435,(0.00647* 0.89462* 0.03547* -0.44536),(-0.00395* 0.87376* 0.01678* -0.48606),2.263088,-1.959503,(-0.15749* 0.03411* -0.06004* 0.98510),1.046814,-0.14328
DownRight,1,4.320113,(0.00647* 0.89462* 0.03547* -0.44536),(-0.00705* 0.87125* 0.01469* -0.49058),2.838079,-2.034393,(-0.15724* 0.03528* -0.05861* 0.98519),1.189133,-0.2019653
DownRight,1,4.347355,(0.00647* 0.89462* 0.03547* -0.44536),(-0.01050* 0.86864* 0.01312* -0.49515),3.422812,-2.043213,(-0.15603* 0.03984* -0.05597* 0.98536),1.742218,-0.2018738
DownRight,1,4.375431,(0.00647* 0.89462* 0.03547* -0.44536),(-0.01322* 0.86570* 0.01147* -0.50025),4.081516,-2.097839,(-0.15725* 0.04052* -0.05528* 0.98518),1.80629,-0.353241
DownRight,1,4.40336,(0.00647* 0.89462* 0.03547* -0.44536),(-0.01591* 0.86276* 0.00962* -0.50526),4.730803,-2.180359,(-0.15784* 0.04198* -0.05475* 0.98505),1.970276,-0.4205322
DownRight,1,4.435122,(0.00647* 0.89462* 0.03547* -0.44536),(0.01795* -0.86002* -0.00719* 0.50990),5.331255,-2.354767,(-0.15840* 0.04447* -0.05255* 0.98497),2.256882,-0.5885925
DownRight,1,4.460575,(0.00647* 0.89462* 0.03547* -0.44536),(0.02115* -0.85730* -0.00495* 0.51436),5.908891,-2.463196,(-0.15919* 0.04629* -0.05238* 0.98477),2.458145,-0.6446838
DownRight,1,4.488083,(0.00647* 0.89462* 0.03547* -0.44536),(0.02434* -0.85462* -0.00109* 0.51868),6.46236,-2.74762,(-0.16045* 0.04746* -0.05335* 0.98446),2.575912,-0.6701355
DownRight,1,4.515073,(0.00647* 0.89462* 0.03547* -0.44536),(0.02837* -0.85226* 0.00390* 0.52233),6.918623,-3.119934,(-0.16204* 0.04962* -0.05162* 0.98418),2.809052,-0.9055176
DownRight,1,4.542305,(0.00647* 0.89462* 0.03547* -0.44536),(0.03293* -0.84950* 0.00978* 0.52648),7.436717,-3.57193,(-0.16809* 0.06134* -0.02143* 0.98363),4.191528,-3.471863
DownRight,1,4.570489,(0.00647* 0.89462* 0.03547* -0.44536),(0.03770* -0.84663* 0.01685* 0.53058),7.941996,-4.149353,(-0.17191* 0.06398* -0.01062* 0.98298),4.504059,-4.572357
DownRight,1,4.597823,(0.00647* 0.89462* 0.03547* -0.44536),(0.04250* -0.84347* 0.02265* 0.53502),8.499229,-4.59845,(-0.15736* 0.07041* -0.02634* 0.98468),5.363373,-2.012421
DownRight,1,4.625243,(0.00647* 0.89462* 0.03547* -0.44536),(0.04663* -0.84018* 0.02885* 0.53954),9.066684,-5.126831,(-0.15946* 0.06117* -0.04530* 0.98427),4.205276,-0.9414368
DownRight,1,4.652692,(0.00647* 0.89462* 0.03547* -0.44536),(0.05062* -0.83657* 0.03399* 0.54446),9.697727,-5.556946,(-0.16404* 0.07282* -0.01448* 0.98366),5.611771,-3.457458
DownRight,1,4.674821,(0.00647* 0.89462* 0.03547* -0.44536),(0.05192* -0.83463* 0.03533* 0.54722),10.06346,-5.672363,(-0.16559* 0.07635* -0.00367* 0.98323),6.063889,-4.353973
DownRight,1,4.708241,(0.00647* 0.89462* 0.03547* -0.44536),(0.05707* -0.82925* 0.04012* 0.55450),11.02235,-6.051971,(-0.16526* 0.07989* -0.00202* 0.98301),6.488098,-4.402466
DownRight,1,4.735783,(0.00647* 0.89462* 0.03547* -0.44536),(0.06029* -0.82493* 0.04266* 0.56038),11.81246,-6.260468,(-0.16571* 0.08354* -0.00153* 0.98263),6.906677,-4.432251
DownRight,1,4.763616,(0.00647* 0.89462* 0.03547* -0.44536),(0.06349* -0.82017* 0.04497* 0.56681),12.68336,-6.456879,(-0.16644* 0.08772* -0.00025* 0.98214),7.388412,-4.539917
