Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Up,1,0,0,0,0,0,0
Up,1,0.001894951,-0.0112257,-0.02064586,0.01971626,0.02639771,0.03308105
Up,1,-0.08660316,-0.02075234,-0.04661083,0.03948021,0.04370117,0.04412842
Up,1,-0.1351929,-0.04518496,-0.04899311,0.04944229,0.04049683,0.03320313
Up,1,-0.09848833,-0.05305076,-0.06498528,0.04943848,0.05050659,0.03320313
Up,1,-0.08486128,-0.02064776,-0.04689312,0.04944229,0.04049683,0.03320313
Up,1,-0.09689808,-0.03225634,-0.05510664,0.01966476,0.04095459,0.04400635
Up,1,-0.1396642,-0.03823453,-0.08890676,0.03948593,0.03369141,0.04412842
Up,1,-0.1552763,-0.03942718,-0.08645344,0.01971626,0.02639771,0.03308105
Up,1,-0.162014,-0.04062028,-0.09556031,0.0495739,0.00680542,0.0002441406
Up,1,-0.2135282,-0.04594092,-0.1079483,0.02968788,0.01864624,0.0111084
Up,1,-0.2380366,-0.02716288,-0.09414983,0.05966187,-0.05465698,-0.05471802
Up,1,-0.2444177,-0.04901263,-0.1134808,0.05977821,-0.08837891,-0.08770752
Up,1,-0.3364544,-0.06876165,-0.1408036,0.04990196,-0.09973145,-0.08773804
Up,1,-0.3711696,-0.08407521,-0.1765175,0.04989624,-0.08972168,-0.08770752
Up,1,-0.3767076,-0.07387917,-0.1656411,0.05974388,-0.08383179,-0.07669067
Up,1,-0.4261956,-0.08837573,-0.1691747,0.06971741,-0.08703613,-0.08764648
Up,1,-0.5239344,-0.09864995,-0.1972959,0.06971931,-0.0970459,-0.08764648
Up,1,-0.6495056,-0.1117518,-0.2333229,0.08947945,-0.08978271,-0.0765686
Up,1,-0.80161,-0.1793735,-0.3085623,0.1093655,-0.1016541,-0.0874939
Up,1,-0.8839369,-0.157781,-0.3313236,0.119318,-0.1148987,-0.09844971
Up,1,-1.027092,-0.1828307,-0.380316,0.1193542,-0.1194763,-0.109436
Up,1,-1.192158,-0.2096888,-0.4300394,0.1194191,-0.1386414,-0.1314392
Up,1,-1.371317,-0.2165962,-0.4618556,0.1194973,-0.1678162,-0.1534424
Up,1,-1.492321,-0.2181896,-0.4881716,0.1196289,-0.2061157,-0.1974182
Up,1,-1.655959,-0.2644043,-0.5355754,0.1097736,-0.226593,-0.2194519
Up,1,-1.843236,-0.2800903,-0.5359213,0.09989357,-0.2424927,-0.2304688
Up,1,-1.980768,-0.3416443,-0.5384986,0.08016586,-0.2834167,-0.2745361
Up,1,-2.151021,-0.344696,-0.5143569,0.04052734,-0.2732239,-0.285614
Up,1,-2.327615,-0.3794556,-0.5136323,0.0802784,-0.3262939,-0.3294983
Up,1,-2.593128,-0.4325256,-0.5337145,-0.1776142,-0.2464294,-0.2970581
Up,1,-2.848349,-0.4823608,-0.4995105,-0.1973801,-0.3015747,-0.3519592
Up,1,-3.104749,-0.5035706,-0.4922094,-0.1774673,-0.3806458,-0.4287415
Up,1,-3.383942,-0.5667419,-0.4852159,-0.1377544,-0.4472351,-0.5055847
Up,1,-3.64407,-0.6091614,-0.5026486,0.05075645,-0.6362915,-0.681366
Up,1,-3.862031,-0.6696472,-0.5688725,0.2292366,-0.7977905,-0.8575439
Up,1,-4.016322,-0.7039795,-0.6146722,0.2093124,-0.8385925,-0.9015503
Up,1,-4.174582,-0.7286072,-0.6642635,0.2191448,-0.9004211,-0.9566345
Up,1,-4.389782,-0.7579956,-0.7221839,0.1992149,-0.9265747,-0.9895935
Up,1,-4.525218,-0.7896118,-0.7404923,0.1196709,-0.9542542,-1.033325
Up,1,-4.661435,-0.8521118,-0.7923684,0.07982445,-0.9872131,-1.077209
Up,1,-4.862335,-0.8895569,-0.8364401,0.05975151,-1.012329,-1.13208
Up,1,-5.040314,-0.9048767,-0.8768051,0.07917976,-1.120361,-1.253143
Up,1,-5.198364,-0.9674683,-0.870553,0.06905365,-1.169769,-1.297089
Up,1,-5.344177,-0.9583435,-0.829623,0.07878113,-1.20694,-1.341095
Up,1,-5.439331,-0.9551086,-0.7809265,0.01906395,-1.222687,-1.362762
Up,1,-5.56778,-0.9549255,-0.7462549,0.008775711,-1.291138,-1.428619
Up,1,-5.738708,-0.9784241,-0.7197702,0.03840065,-1.311554,-1.461792
Up,1,-5.899811,-1.021484,-0.7131953,0.02825165,-1.346313,-1.49469
Up,1,-6.012177,-1.010498,-0.6976337,0.01814079,-1.391083,-1.527588
Up,1,-6.116516,-1.069427,-0.7233884,0.007917404,-1.460358,-1.571472
Up,1,-6.298157,-1.165466,-0.8209734,-0.05181503,-1.471252,-1.58197
Up,1,-6.543182,-1.215942,-0.8770669,-0.09157562,-1.475494,-1.581635
Up,1,-6.687988,-1.168091,-0.9307954,-0.1015568,-1.48111,-1.59259
Up,1,-6.954437,-1.21994,-1.009648,-0.1514359,-1.505402,-1.614075
Up,1,-7.175568,-1.237701,-1.046047,-0.1616211,-1.550018,-1.646912
Up,1,-7.225098,-1.221649,-1.052406,-0.181736,-1.595642,-1.679657
Up,1,-7.324768,-1.249542,-1.054466,-0.2017021,-1.642242,-1.690491
Up,1,-7.43634,-1.278351,-1.053,-0.2614346,-1.652954,-1.700897
Up,1,-7.503754,-1.263672,-1.036321,-0.2518406,-1.709961,-1.744873
Up,1,-7.683472,-1.307892,-1.032748,-0.2521076,-1.753448,-1.777771
Up,1,-7.967468,-1.360321,-1.066121,-0.2522869,-1.77243,-1.799683
Up,1,-8.224091,-1.380646,-1.062376,-0.252573,-1.795959,-1.832581
Up,1,-8.414703,-1.425873,-1.039557,-0.3022022,-1.776489,-1.821106
Up,1,-8.646576,-1.473938,-1.07532,-0.3415928,-1.732605,-1.776886
Up,1,-8.946289,-1.53714,-1.118439,-0.3714466,-1.745697,-1.776581
Up,1,-9.178955,-1.575165,-1.139681,-0.3911247,-1.768768,-1.754456
Up,1,-9.39035,-1.611084,-1.186439,-0.5303402,-1.79306,-1.753021
Up,1,-9.590973,-1.645813,-1.241199,-0.5802536,-1.827026,-1.774414
Up,1,-9.710541,-1.654633,-1.267129,-0.5702744,-1.846008,-1.774536
Up,1,-9.850952,-1.664398,-1.327093,-0.550806,-1.881744,-1.818451
Up,1,-10.013,-1.675446,-1.39613,-0.5515175,-1.962799,-1.89502
Up,1,-10.14038,-1.743439,-1.476563,-0.562006,-1.975983,-1.949615
Up,1,-10.25925,-1.771057,-1.536935,-0.5816746,-1.989105,-1.927521
Up,1,-10.42801,-1.752747,-1.578494,-0.6115093,-1.992065,-1.927155
Up,1,-10.57532,-1.742462,-1.629238,-0.6317005,-2.017273,-1.959717
Up,1,-10.74881,-1.76355,-1.695564,-0.6416759,-2.028259,-1.959595
Up,1,-10.92947,-1.785095,-1.758274,-0.6518459,-2.048096,-1.981354
Up,1,-11.12292,-1.799103,-1.76326,-0.6717377,-2.050049,-1.98111
Up,1,-11.28574,-1.849976,-1.796363,-0.6721973,-2.117706,-2.024811
Up,1,-11.45401,-1.851898,-1.807049,-0.7417049,-2.110077,-2.013031
Up,1,-11.63672,-1.855255,-1.805436,-0.8010368,-2.072723,-1.979492
Up,1,-11.82217,-1.879211,-1.793037,-0.7906322,-2.04422,-1.935974
Up,1,-11.95401,-1.888733,-1.795581,-0.8204727,-2.03717,-1.935608
Up,1,-12.1225,-1.891022,-1.796632,-0.8304157,-2.038147,-1.935486
Up,1,-12.23322,-1.908051,-1.822942,-0.8106632,-2.040558,-1.946625
Up,1,-12.58826,-2.011047,-1.888392,-0.8205853,-2.031525,-1.946503
Up,1,-12.798,-2.044159,-1.934167,-0.8403816,-2.029144,-1.935364
Up,1,-12.86908,-2.046387,-1.997175,-0.8703384,-2.046448,-1.945862
Up,1,-12.94095,-2.089294,-2.045115,-0.8898621,-2.035309,-1.912903
Up,1,-13.07651,-2.148102,-2.0622,-0.8897476,-2.040955,-1.902008
Up,1,-13.17267,-2.133362,-2.094173,-0.8897476,-2.040955,-1.902008
Up,1,-13.37732,-2.176239,-2.125278,-0.8996105,-2.037567,-1.890961
Up,1,-13.57007,-2.197083,-2.177255,-0.8897495,-2.050964,-1.902008
Up,1,-13.70236,-2.204437,-2.213215,-0.8998356,-2.056305,-1.912781
Up,1,-13.77817,-2.198395,-2.237339,-0.8799171,-2.07431,-1.913025
Up,1,-14.14163,-2.268829,-2.3214,-0.8702202,-2.102081,-1.934998
Up,1,-14.32706,-2.268524,-2.372979,-0.8602486,-2.101105,-1.93512
Up,1,-14.689,-2.339722,-2.429323,-0.8602486,-2.071106,-1.93512
Up,1,-15.27078,-2.452057,-2.535703,-0.85042,-2.074493,-1.946136
Up,1,-15.57156,-2.470337,-2.561772,-0.7908592,-2.072968,-1.957794
Up,1,-15.66083,-2.478058,-2.536882,-0.7610207,-2.100037,-1.95816
Up,1,-15.9411,-2.525848,-2.549912,-0.7609119,-2.085663,-1.947205
Up,1,-16.34732,-2.619843,-2.591128,-0.7412491,-2.102478,-1.96936
Up,1,-16.64743,-2.648651,-2.606047,-0.7018032,-2.121796,-2.002625
Up,1,-16.8382,-2.639404,-2.629226,-0.6621304,-2.142334,-2.014038
Up,1,-17.13461,-2.684143,-2.688211,-0.612627,-2.166321,-2.03653
Up,1,-17.50754,-2.745422,-2.725898,-0.5434399,-2.207306,-2.081177
Up,1,-17.77917,-2.785461,-2.81286,-0.4642391,-2.213013,-2.115051
Up,1,-18.09259,-2.850006,-2.875449,-0.4342823,-2.245697,-2.104492
Up,1,-18.44635,-2.844635,-2.960928,-0.3846226,-2.255402,-2.116058
Up,1,-18.81949,-2.902405,-3.021168,-0.3448296,-2.271576,-2.116577
Up,1,-19.35577,-2.996307,-3.117819,-0.3148785,-2.264252,-2.105988
Up,1,-19.76901,-3.081818,-3.213691,-0.3048115,-2.268768,-2.095123
Up,1,-20.20807,-3.045654,-3.242185,-0.2647915,-2.265961,-2.07373
Up,1,-20.65161,-3.137115,-3.379486,-0.2449017,-2.274048,-2.073975
Up,1,-21.20062,-3.197571,-3.401245,-0.2348366,-2.278564,-2.06311
Up,1,-21.62335,-3.265289,-3.463257,-0.783062,-0.8318481,0.08453369
Up,1,-22.02713,-3.328308,-3.471558,-0.9643326,-0.3952332,0.7383728
Up,1,-22.33197,-3.332397,-3.502838,-0.9647026,-0.3634338,0.7929077
Up,1,-22.67862,-3.368622,-3.535858,-0.1437626,-2.201996,-1.899567
Up,1,-22.99066,-3.428345,-3.526367,3.158716,-0.9032898,-1.721436
Up,1,-23.27399,-3.440155,-3.562531,6.129684,0.4851379,-1.312866
Up,1,-23.57208,-3.485291,-3.579834,6.298506,0.5610657,-1.299835
Up,1,-23.89468,-3.524475,-3.648254,6.348141,0.5629272,-1.287781
Up,1,-24.18008,-3.548096,-3.736969,6.228769,0.5606689,-1.265533
Up,1,-24.5488,-3.585266,-3.830994,6.248611,0.5630188,-1.26535
Up,1,-24.99353,-3.623047,-3.944672,6.278418,0.5565796,-1.265076
Up,1,-25.40497,-3.628174,-4.057892,6.258337,0.5620728,-1.230347
Up,1,-25.85352,-3.628998,-4.205292,6.288063,0.5515747,-1.218475
Up,1,-26.3765,-3.618744,-4.37558,6.317774,0.5511475,-1.206543
Up,1,-26.57053,-3.676147,-4.510712,6.337526,0.5295105,-1.194702
Up,1,-26.94424,-3.694946,-4.628693,6.367327,0.513092,-1.194397
Up,1,-27.34973,-3.72226,-4.759705,6.37738,0.4983215,-1.205933
Up,1,-27.69403,-3.783478,-4.847137,6.446899,0.4566956,-1.205261
Up,1,-28.03107,-3.750092,-4.955383,6.437218,0.397522,-1.240326
Up,1,-28.44904,-3.819611,-5.010254,6.437138,0.3935242,-1.228668
Up,1,-28.81366,-3.868286,-5.054962,6.456728,0.4039001,-1.193481
Up,1,-29.18817,-3.926849,-5.10083,6.466597,0.3911133,-1.181732
Up,1,-29.59143,-3.92804,-5.138733,6.476351,0.3942871,-1.158325
Up,1,-29.85657,-3.949249,-5.143433,6.486067,0.3875122,-1.134888
Up,1,-30.16721,-4.006531,-5.177917,6.456274,0.3738708,-1.135193
Up,1,-30.38968,-3.997955,-5.171661,6.475975,0.3782959,-1.111633
Up,2,0,0,0,0,0,0
Up,2,0.02133465,-0.02120668,-0.06848979,-0.009878159,-0.02166748,-0.000213623
Up,2,0.02383304,-0.04234886,-0.09843302,-0.009878159,-0.02166748,-0.000213623
Up,2,0.03487372,-0.03184617,-0.1075504,-0.019907,-0.02856445,0.01065063
Up,2,0.04256749,-0.04068029,-0.09687495,-0.01952744,-0.03814697,-0.01153564
Up,2,0.02387381,-0.03143936,-0.07834649,-0.02961731,-0.02502441,-0.0006103516
Up,2,0.02911115,-0.01915288,-0.0377214,-0.04969978,-0.01879883,0.02111816
Up,2,0.01799226,-0.01969486,-0.02860427,-0.04005241,-0.02230835,0.03240967
Up,2,-0.02913165,-0.04441291,-0.04270959,-0.05979156,-0.02566528,0.03201294
Up,2,-0.08143926,-0.06869125,-0.03743601,-0.06985283,-0.03256226,0.04290771
Up,2,-0.1235228,-0.07205144,-0.03141761,-0.07003975,-0.03781128,0.05395508
Up,2,-0.413187,-0.1471856,-0.03381848,-0.1099319,-0.05496216,0.07528687
Up,2,-0.6905862,-0.2295097,0.007961988,-0.1203461,-0.04232788,0.1083374
Up,2,-0.8170804,-0.197786,0.07888389,-0.1302147,-0.05401611,0.1081238
Up,2,-1.027563,-0.2131387,0.1638172,-0.120533,-0.0475769,0.1193848
Up,2,-1.383686,-0.3048707,0.152864,-0.1401119,-0.06570435,0.1079102
Up,2,-1.703902,-0.3622375,0.180166,-0.1894302,-0.08413696,0.1068726
Up,2,-1.947689,-0.3729256,0.2091832,-0.198946,-0.1453552,0.08447266
Up,2,-2.248474,-0.4501833,0.1846352,-0.2782421,-0.1393127,0.105011
Up,2,-2.450806,-0.528335,0.1734564,-0.3572292,-0.1528015,0.103363
Up,2,-2.684998,-0.5093157,0.1580136,-0.386837,-0.1178894,0.1027527
Up,2,-2.93045,-0.5414259,0.1333137,-0.4063911,-0.1559753,0.09130859
Up,2,-3.141357,-0.580658,0.09513903,-0.414999,-0.180603,0.01373291
Up,2,-3.27951,-0.6638184,0.02860427,-0.404253,-0.2024841,-0.0413208
Up,2,-3.426697,-0.6972046,-0.01151729,-0.3841591,-0.2086182,-0.06307983
Up,2,-3.601563,-0.7029724,-0.05532527,-0.4040756,-0.2172241,-0.05239868
Up,2,-3.891022,-0.7886658,-0.1233878,-0.4037342,-0.2466125,-0.07446289
Up,2,-4.147308,-0.8513489,-0.2055626,-0.4232788,-0.2746277,-0.0859375
Up,2,-4.362854,-0.8502808,-0.2958386,-0.422781,-0.3187561,-0.1190796
Up,2,-4.484711,-0.9211731,-0.4080851,-0.4716892,-0.3510437,-0.1531372
Up,2,-4.718048,-1.010895,-0.495239,-0.4715271,-0.3657532,-0.1641846
Up,2,-4.989807,-1.083435,-0.5890424,-0.4912739,-0.3790283,-0.1645203
Up,2,-5.218689,-1.102051,-0.6633532,-0.5411358,-0.3531189,-0.1322632
Up,2,-5.576416,-1.130646,-0.759346,-0.5312691,-0.3614807,-0.1321106
Up,2,-5.757416,-1.205017,-0.7892723,-0.5506916,-0.374115,-0.154541
Up,2,-6.062775,-1.268494,-0.9029975,-0.5406609,-0.3971863,-0.1654053
Up,2,-6.374939,-1.312561,-0.9560165,-0.5602589,-0.4050903,-0.1767578
Up,2,-6.771179,-1.391602,-1.102419,-0.6591988,-0.3767395,-0.1674805
Up,2,-7.017059,-1.47879,-1.211572,-0.7284603,-0.3735046,-0.1576538
Up,2,-7.218384,-1.532776,-1.286858,-0.7672005,-0.4331665,-0.2133789
Up,2,-7.573456,-1.587708,-1.376375,-0.7567329,-0.5201111,-0.2573242
Up,2,-7.965485,-1.645081,-1.458366,-0.7661667,-0.5656128,-0.2905579
Up,2,-8.197144,-1.641205,-1.498425,-0.7450218,-0.6688232,-0.4004517
Up,2,-8.45459,-1.688965,-1.541285,-0.7345657,-0.7157898,-0.4444275
Up,2,-8.818329,-1.774719,-1.573898,-0.8044529,-0.6436768,-0.3903198
