Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
DownLeft,1,0,0,0,0,0,0
DownLeft,1,-0.03977299,-0.01035964,0.01081836,-0.01980591,-0.000415802,0.01049232
DownLeft,1,-0.08910918,-0.001505494,0.04182976,-0.02999878,-4.386902E-05,0.0007176399
DownLeft,1,-0.1086686,-0.01228178,0.06224108,-0.04931641,-0.01122665,0.03123713
DownLeft,1,-0.1486592,-0.01224756,0.06311512,-0.1442871,-0.1051331,0.6547508
DownLeft,1,-0.1879969,0.01659679,0.09391159,-0.1091919,-0.1574306,0.4535003
DownLeft,1,-0.2177711,0.04622519,0.104542,-0.1116028,-0.1736031,0.3533611
DownLeft,1,-0.2562351,0.05348754,0.1752124,-0.1401367,-0.1559467,0.4141712
DownLeft,1,-0.3062227,0.06352723,0.1763087,-0.1386719,-0.1182404,0.4742551
DownLeft,1,-0.3466492,0.0643487,0.157262,-0.1377258,-0.0997715,0.5143118
DownLeft,1,-0.3464317,0.05395305,0.1672372,-0.1469421,-0.1009312,0.5445962
DownLeft,1,-0.3259993,0.04314578,0.1867494,-0.1365051,-0.1016827,0.5643816
DownLeft,1,-0.3057854,0.04273486,0.1962859,-0.136261,-0.0920639,0.5743966
DownLeft,1,-0.2953517,0.03193545,0.2160164,-0.1267395,-0.0912838,0.5541248
DownLeft,1,-0.274919,0.001129508,0.2354996,-0.1262512,-0.112051,0.5741529
DownLeft,1,-0.2844775,-0.02965462,0.2556961,-0.1257935,-0.1228123,0.5941806
DownLeft,1,-0.2842593,-0.08004904,0.2656439,-0.1262512,-0.1420441,0.5741529
DownLeft,1,-0.2436113,-0.1212673,0.2946882,-0.1360168,-0.1724453,0.5844102
DownLeft,1,-0.2042782,-0.1501141,0.263885,-0.1640625,-0.1655445,0.6652536
DownLeft,1,-0.2036211,-0.1913005,0.2938079,-0.191864,-0.1290245,0.756114
DownLeft,1,-0.1823082,-0.2036906,0.3532674,-0.2366943,-0.1571026,0.9676433
DownLeft,1,-0.1323206,-0.2037331,0.3521649,-0.1928406,-0.1075001,0.7160563
DownLeft,1,-0.07211518,-0.244179,0.3607879,-0.2364502,-0.1774807,0.9776578
DownLeft,1,-0.05146194,-0.2553823,0.3902665,-0.191864,-0.199028,0.7561135
DownLeft,1,0.009183884,-0.3066211,0.41886,-0.201355,-0.2098064,0.7763867
DownLeft,1,0.05939221,-0.337062,0.4277275,-0.2715149,-0.2351437,1.178936
DownLeft,1,0.1400335,-0.348323,0.455874,-0.2391663,-0.1832962,0.8674974
DownLeft,1,0.1906822,-0.3795557,0.4846825,-0.2218628,-0.1890717,0.7568469
DownLeft,1,0.2313347,-0.4107801,0.5137098,-0.2313232,-0.1998501,0.7771206
DownLeft,1,0.2815437,-0.4412262,0.5225992,-0.2510986,-0.2002678,0.7876258
DownLeft,1,0.3317518,-0.4616711,0.5314329,-0.2834778,-0.2521191,1.099066
DownLeft,1,0.3419707,-0.5020763,0.5411816,-0.2807617,-0.3562927,1.209229
DownLeft,1,0.3619657,-0.5320972,0.5407377,-0.2622681,-0.3939857,1.148646
DownLeft,1,0.3917372,-0.5517346,0.5301012,-0.2715149,-0.4151402,1.178937
DownLeft,1,0.4419456,-0.5921827,0.538961,-0.2705383,-0.4666557,1.218996
DownLeft,1,0.4430523,-0.6641565,0.5888377,-0.2802734,-0.4970589,1.229258
DownLeft,1,0.4539354,-0.7657434,0.6284671,-0.2802734,-0.5270538,1.229258
DownLeft,1,0.5030375,-0.8942224,0.5875031,-0.27005,-0.5774174,1.239025
DownLeft,1,0.5843463,-1.066679,0.6455368,-0.2790222,-0.6489525,1.279332
DownLeft,1,0.6554389,-1.248731,0.6938187,-0.2787781,-0.7193298,1.289347
DownLeft,1,0.7667441,-1.491211,0.7511687,-0.2787781,-0.7693272,1.289346
DownLeft,1,0.9587011,-1.795013,0.8366147,-0.2973022,-0.8816357,1.349933
DownLeft,1,1.191548,-2.090424,0.9609941,-0.305603,-1.074299,1.420286
DownLeft,1,1.423507,-2.424286,1.045504,-0.3138428,-1.256964,1.490639
DownLeft,1,1.725227,-2.777924,1.118406,-0.3326111,-1.498888,1.541214
DownLeft,1,2.057394,-3.182404,1.210505,-0.3775635,-1.806522,1.742767
DownLeft,1,2.400245,-3.598114,1.332193,-0.5131226,-2.038202,2.317453
DownLeft,1,2.752419,-4.042725,1.423741,-0.4395142,-2.378681,2.065027
DownLeft,1,3.114598,-4.577423,1.514987,-0.4580688,-2.515594,2.516492
DownLeft,1,3.507003,-5.152618,1.615428,-0.4819031,-2.7446,2.757638
DownLeft,1,3.909412,-5.787933,1.715564,-0.4995728,-3.007988,2.848295
DownLeft,1,4.311368,-6.422455,1.795738,-0.3329468,-3.348265,2.322882
DownLeft,1,4.673568,-7.097412,1.886728,-0.3111877,-3.670849,2.392475
DownLeft,1,5.095297,-7.76181,1.956362,0.1222839,-3.975729,1.73022
DownLeft,1,5.488192,-8.338135,2.076322,-0.2571106,-4.386745,2.551426
