Direction,tCount,MaxViewingRange,StartVector,EndVector
Right,1,65.51585,(-0.02* 1.00* 0.01),(0.88* 0.43* 0.20)
Right,2,58.9613,(0.03* 1.00* 0.01),(0.85* 0.49* 0.21)
Right,3,51.65455,(0.04* 1.00* 0.01),(0.79* 0.59* 0.19)
Up,1,30.8431,(0.02* 1.00* -0.01),(0.12* 0.85* -0.51)
Up,2,-32.8627,(0.03* 1.00* -0.01),(0.13* 0.83* -0.54)
Up,3,-33.08999,(0.02* 1.00* 0.03),(0.12* 0.85* -0.51)
DownLeft,1,-50.37295,(0.03* 1.00* -0.01),(-0.60* 0.66* 0.45)
DownLeft,2,-25.48071,(0.03* 1.00* 0.05),(-0.35* 0.90* 0.25)
DownLeft,3,-24.04322,(0.03* 1.00* 0.00),(-0.32* 0.92* 0.21)
Left,1,-50.95223,(0.01* 1.00* 0.03),(-0.76* 0.64* -0.10)
Left,2,-55.92642,(0.01* 1.00* 0.03),(-0.81* 0.57* -0.11)
Left,3,-57.10603,(0.00* 1.00* -0.01),(-0.83* 0.54* -0.11)
DownRight,1,21.30793,(0.03* 1.00* 0.07),(0.25* 0.90* 0.35)
DownRight,2,18.94035,(0.03* 1.00* 0.04),(0.22* 0.93* 0.30)
DownRight,3,19.2908,(0.03* 1.00* 0.03),(0.23* 0.93* 0.29)
UpLeft,1,-52.37044,(0.05* 1.00* 0.02),(-0.44* 0.65* -0.63)
UpLeft,2,-50.07355,(0.01* 1.00* -0.01),(-0.44* 0.64* -0.63)
UpLeft,3,-48.57123,(0.01* 1.00* 0.01),(-0.43* 0.67* -0.60)
Down,1,17.75223,(0.00* 1.00* 0.00),(-0.05* 0.95* 0.30)
Down,2,12.21537,(0.01* 1.00* 0.04),(-0.01* 0.97* 0.25)
Down,3,-15.58811,(0.01* 1.00* 0.05),(-0.05* 0.95* 0.31)
UpRight,1,54.58928,(0.01* 1.00* 0.04),(0.69* 0.59* -0.42)
UpRight,2,51.04552,(0.02* 1.00* 0.01),(0.67* 0.62* -0.41)
UpRight,3,40.53587,(0.02* 1.00* -0.02),(0.57* 0.74* -0.35)
