Direction,tCount,MaxViewingRange,StartVector,EndVector
UpRight,1,85.20977,(-0.79* 0.36* -0.50),(-0.27* 0.64* 0.72)
UpRight,2,83.91241,(-0.80* 0.37* -0.46),(-0.26* 0.63* 0.73)
UpRight,3,83.42668,(-0.80* 0.37* -0.47),(-0.27* 0.64* 0.72)
Right,1,114.0895,(-0.79* 0.39* -0.48),(-0.17* -0.21* 0.96)
Right,2,114.3172,(-0.80* 0.37* -0.47),(-0.15* -0.21* 0.96)
Right,3,115.1182,(-0.80* 0.38* -0.47),(-0.14* -0.22* 0.97)
Up,1,-82.09013,(-0.78* 0.38* -0.50),(0.18* 0.97* 0.18)
Up,2,83.47332,(-0.77* 0.40* -0.50),(0.21* 0.95* 0.21)
Up,3,85.52332,(-0.78* 0.39* -0.49),(0.23* 0.95* 0.23)
DownLeft,1,-86.32793,(-0.77* 0.40* -0.49),(0.08* -0.63* -0.77)
DownLeft,2,-79.15291,(-0.78* 0.34* -0.53),(0.04* -0.60* -0.80)
DownLeft,3,-80.39977,(-0.78* 0.37* -0.51),(0.03* -0.59* -0.80)
Left,1,-86.30902,(-0.78* 0.37* -0.51),(0.50* 0.03* -0.87)
Left,2,-96.73418,(-0.78* 0.36* -0.51),(0.63* -0.05* -0.77)
Left,3,-105.4456,(-0.78* 0.37* -0.50),(0.73* -0.10* -0.68)
DownRight,1,101.4031,(-0.78* 0.37* -0.51),(-0.44* -0.72* 0.54)
DownRight,2,98.69258,(-0.81* 0.36* -0.46),(-0.44* -0.72* 0.54)
DownRight,3,103.1298,(-0.81* 0.35* -0.46),(-0.36* -0.74* 0.56)
UpLeft,1,-125.5494,(-0.80* 0.36* -0.48),(0.93* 0.35* -0.08)
UpLeft,2,-128.1902,(-0.79* 0.39* -0.48),(0.95* 0.31* -0.02)
UpLeft,3,-136.9298,(-0.77* 0.40* -0.50),(0.98* 0.18* 0.10)
Down,1,85.04992,(-0.77* 0.40* -0.49),(-0.41* -0.88* -0.25)
Down,2,88.97426,(-0.79* 0.36* -0.50),(-0.32* -0.93* -0.20)
Down,3,89.55266,(-0.78* 0.38* -0.50),(-0.33* -0.92* -0.20)
