Participant,Posture,Direction,Range
1,Standing,DownLeft,80.85746
1,Standing,DownLeft,72.02796
1,Standing,DownLeft,75.1248
1,Standing,Left,80.28755
1,Standing,Left,78.97924
1,Standing,Left,81.91097
1,Standing,DownRight,59.39761
1,Standing,DownRight,56.02356
1,Standing,DownRight,51.98625
1,Standing,UpLeft,70.01582
1,Standing,UpLeft,70.90609
1,Standing,UpLeft,70.09445
1,Standing,Down,53.04361
1,Standing,Down,55.76614
1,Standing,Down,54.90615
1,Standing,UpRight,49.07465
1,Standing,UpRight,48.23007
1,Standing,UpRight,42.91292
1,Standing,Right,50.53383
1,Standing,Right,71.70167
1,Standing,Right,70.98521
1,Standing,Up,64.07494
1,Standing,Up,52.72467
1,Standing,Up,62.01188
2,Standing,Right,143.5988
2,Standing,Right,149.3034
2,Standing,Right,149.8307
2,Standing,Up,92.87988
2,Standing,Up,95.7194
2,Standing,Up,90.56134
2,Standing,DownLeft,139.6232
2,Standing,DownLeft,136.7948
2,Standing,DownLeft,131.7003
2,Standing,Left,153.2513
2,Standing,Left,161.0686
2,Standing,Left,148.9116
2,Standing,DownRight,124.7675
2,Standing,DownRight,115.9785
2,Standing,DownRight,121.3851
2,Standing,UpLeft,156.8702
2,Standing,UpLeft,155.5979
2,Standing,UpLeft,159.5798
2,Standing,Down,89.42151
2,Standing,Down,90.55536
2,Standing,Down,94.61825
2,Standing,UpRight,136.1742
2,Standing,UpRight,143.0406
2,Standing,UpRight,134.9584
3,Standing,Right,159.6543
3,Standing,Right,156.7756
3,Standing,Right,154.1894
3,Standing,Up,103.3861
3,Standing,Up,120.1465
3,Standing,Up,132.1944
3,Standing,DownLeft,183.4897
3,Standing,DownLeft,186.9544
3,Standing,DownLeft,182.8873
3,Standing,Left,193.3026
3,Standing,Left,191.4888
3,Standing,Left,176.3823
3,Standing,DownRight,144.3302
3,Standing,DownRight,149.2022
3,Standing,DownRight,164.1661
3,Standing,UpLeft,164.2331
3,Standing,UpLeft,163.7717
3,Standing,UpLeft,174.8548
3,Standing,Down,144.6886
3,Standing,Down,148.6222
3,Standing,Down,142.4383
3,Standing,UpRight,158.3285
3,Standing,UpRight,169.1743
3,Standing,UpRight,155.7852
4,Standing,Up,83.60304
4,Standing,Up,64.58875
4,Standing,Up,53.86611
4,Standing,DownLeft,71.07846
4,Standing,DownLeft,65.10283
4,Standing,DownLeft,70.51755
4,Standing,Left,94.85002
4,Standing,Left,98.76296
4,Standing,Left,95.94383
4,Standing,DownRight,65.72824
4,Standing,DownRight,69.89735
4,Standing,DownRight,71.49608
4,Standing,UpLeft,72.16635
4,Standing,UpLeft,80.28273
4,Standing,UpLeft,80.70247
4,Standing,Down,61.41726
4,Standing,Down,58.07828
4,Standing,Down,63.64814
4,Standing,UpRight,85.2099
4,Standing,UpRight,91.31896
4,Standing,UpRight,92.91472
4,Standing,Right,3.699729
4,Standing,Right,106.0729
4,Standing,Right,106.5448
5,Standing,DownLeft,67.12099
5,Standing,DownLeft,60.18512
5,Standing,DownLeft,68.58846
5,Standing,Left,144.4674
5,Standing,Left,158.7595
5,Standing,Left,166.1568
5,Standing,DownRight,83.26669
5,Standing,DownRight,83.38647
5,Standing,DownRight,84.23454
5,Standing,UpLeft,110.1346
5,Standing,UpLeft,116.0311
5,Standing,UpLeft,125.0933
5,Standing,Down,73.74346
5,Standing,Down,80.24007
5,Standing,Down,87.70267
5,Standing,UpRight,123.0631
5,Standing,UpRight,138.6221
5,Standing,UpRight,153.0231
5,Standing,Right,155.5669
5,Standing,Right,161.9039
5,Standing,Right,165.5407
5,Standing,Up,114.2256
5,Standing,Up,123.5921
5,Standing,Up,117.7828
6,Standing,UpLeft,204.1677
6,Standing,UpLeft,187.2368
6,Standing,UpLeft,189.9904
6,Standing,Down,86.18604
6,Standing,Down,82.10769
