Direction,tCount,Time,StartRotation,HeadRotation,HeadYaw,HeadPitch,TrunkRotation,TrunkYaw,TrunkPitch
Right,1,9.028203,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70623* 0.00890* 0.01640* 0.70774),-0.0,-0.0,(-0.56519* 0.44713* -0.53634* 0.43929),-0.0,-0.0
Right,1,9.063976,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70637* 0.00875* 0.01667* 0.70759),-0.03512836,0.02294111,(-0.56531* 0.44708* -0.53613* 0.43944),-0.02972412,-0.01303101
Right,1,9.110301,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70695* 0.00895* 0.01660* 0.70701),-0.01398078,0.1178074,(-0.56462* 0.44765* -0.53590* 0.44002),0.003479004,-0.1303406
Right,1,9.140377,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70751* 0.00948* 0.01569* 0.70646),0.1023402,0.2090073,(-0.56410* 0.44812* -0.53558* 0.44062),0.01507568,-0.2397156
Right,1,9.164483,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70738* 0.00946* 0.01583* 0.70659),0.08940685,0.1877608,(-0.56401* 0.44813* -0.53551* 0.44080),0.006988525,-0.2606506
Right,1,9.192056,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70734* 0.00940* 0.01590* 0.70663),0.07866643,0.1814947,(-0.56421* 0.44797* -0.53553* 0.44067),-0.006469727,-0.231842
Right,1,9.220816,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70737* 0.00897* 0.01596* 0.70661),0.03865972,0.1851707,(-0.56437* 0.44778* -0.53553* 0.44067),-0.02905273,-0.2139893
Right,1,9.249335,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70745* 0.00898* 0.01607* 0.70652),0.03001118,0.1987967,(-0.56444* 0.44768* -0.53553* 0.44067),-0.04037476,-0.2050781
Right,1,9.277805,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70758* 0.00918* 0.01599* 0.70640),0.05311011,0.2192221,(-0.56441* 0.44782* -0.53540* 0.44073),-0.03826904,-0.2249451
Right,1,9.305975,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70772* 0.00934* 0.01596* 0.70625),0.06768855,0.2429547,(-0.56410* 0.44821* -0.53517* 0.44100),-0.02059937,-0.2935791
Right,1,9.333539,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70788* 0.00950* 0.01567* 0.70610),0.1047585,0.2682829,(-0.56378* 0.44851* -0.53503* 0.44128),-0.00402832,-0.3522339
Right,1,9.361822,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70843* 0.01018* 0.01549* 0.70554),0.1729386,0.3593421,(-0.56335* 0.44896* -0.53485* 0.44159),0.02490234,-0.429718
Right,1,9.389371,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70920* 0.01100* 0.01578* 0.70474),0.2144221,0.4876323,(-0.56273* 0.44935* -0.53470* 0.44217),0.04562378,-0.5281677
Right,1,9.417613,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71042* 0.01161* 0.01493* 0.70352),0.3309021,0.6864524,(-0.56200* 0.44997* -0.53435* 0.44289),0.07055664,-0.6663818
Right,1,9.445373,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71136* 0.01266* 0.01399* 0.70257),0.490509,0.8419299,(-0.56083* 0.45094* -0.53406* 0.44373),0.141571,-0.8502808
Right,1,9.473283,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71253* 0.01471* 0.01194* 0.70139),0.8207092,1.037305,(-0.56017* 0.45177* -0.53348* 0.44443),0.1684875,-1.008423
Right,1,9.501189,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71360* 0.01683* 0.00785* 0.70031),1.32135,1.220577,(-0.55957* 0.45242* -0.53299* 0.44512),0.183075,-1.147675
Right,1,9.528958,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71579* 0.01934* 0.00460* 0.69803),1.782837,1.590301,(-0.55852* 0.45333* -0.53264* 0.44592),0.2426147,-1.322662
Right,1,9.557188,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71713* 0.02321* 0.00122* 0.69655),2.36731,1.829005,(-0.55796* 0.45392* -0.53242* 0.44628),0.2835999,-1.419128
Right,1,9.584434,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71721* 0.02662* -0.00244* 0.69634),2.941956,1.86407,(-0.55529* 0.45689* -0.53086* 0.44842),0.4411011,-1.946228
Right,1,9.612032,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71715* 0.03047* -0.00518* 0.69623),3.47818,1.875852,(-0.55357* 0.45870* -0.53008* 0.44964),0.5552368,-2.256592
Right,1,9.640119,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71654* 0.03336* -0.00844* 0.69670),3.978516,1.799521,(-0.55284* 0.45938* -0.53011* 0.44980),0.6355286,-2.339172
Right,1,9.667852,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71584* 0.03884* -0.01171* 0.69709),4.693634,1.719774,(-0.55271* 0.45916* -0.53090* 0.44926),0.6985779,-2.252625
Right,1,9.69579,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71710* 0.04193* -0.01456* 0.69556),5.171692,1.954346,(-0.55171* 0.45960* -0.53169* 0.44909),0.8337402,-2.269592
Right,1,9.723805,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71556* 0.04517* -0.01965* 0.69681),5.851318,1.750061,(-0.54962* 0.46125* -0.53159* 0.45009),1.004211,-2.534424
Right,1,9.751397,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71333* 0.04946* -0.02297* 0.69870),6.478027,1.426325,(-0.54762* 0.46297* -0.53123* 0.45119),1.156006,-2.821228
Right,1,9.779314,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71493* 0.05365* -0.02568* 0.69666),7.034485,1.72736,(-0.54600* 0.46403* -0.53144* 0.45181),1.295624,-2.988708
Right,1,9.807408,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71412* 0.05989* -0.02984* 0.69682),7.884521,1.658304,(0.54427* -0.46531* 0.53168* -0.45230),1.466522,-3.163239
Right,1,9.83517,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71311* 0.06543* -0.03380* 0.69717),8.661011,1.557477,(0.54229* -0.46705* 0.53158* -0.45299),1.654144,-3.406616
Right,1,9.870422,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71486* 0.07146* -0.03590* 0.69468),9.320526,1.891409,(0.53927* -0.47026* 0.53044* -0.45462),1.897034,-3.906067
Right,1,9.890635,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71473* 0.07646* -0.04006* 0.69406),10.06705,1.941514,(0.53844* -0.47102* 0.53030* -0.45498),1.96933,-4.019775
Right,1,9.917964,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71507* 0.08191* -0.04209* 0.69296),10.67944,2.046675,(0.53737* -0.47187* 0.53098* -0.45457),2.145996,-4.053406
Right,1,9.945914,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71562* 0.08610* -0.04581* 0.69165),11.32184,2.206218,(0.53647* -0.47206* 0.53221* -0.45399),2.303955,-3.998474
Right,1,9.973557,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71350* 0.09078* -0.05211* 0.69279),12.22009,1.974744,(0.53596* -0.47218* 0.53272* -0.45387),2.374756,-3.991913
Right,1,10.00087,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71382* 0.09548* -0.05648* 0.69149),12.95764,2.119847,(0.53570* -0.47220* 0.53323* -0.45357),2.432556,-3.956421
Right,1,10.02894,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71576* 0.10205* -0.06198* 0.68806),13.93558,2.565499,(0.53536* -0.47239* 0.53372* -0.45318),2.511566,-3.929047
Right,1,10.05726,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71348* 0.10857* -0.06977* 0.68869),15.10883,2.373631,(0.53461* -0.47288* 0.53439* -0.45277),2.644012,-3.92688
Right,1,10.0847,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.71160* 0.11546* -0.07537* 0.68892),16.13626,2.2178,(0.53389* -0.47323* 0.53527* -0.45222),2.783752,-3.893921
Right,1,10.11268,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70822* 0.12311* -0.08295* 0.69021),17.39301,1.876737,(0.53270* -0.47365* 0.53701* -0.45112),3.030151,-3.801239
Right,1,10.14067,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70455* 0.13163* -0.08898* 0.69164),18.60266,1.473226,(0.53126* -0.47453* 0.53779* -0.45096),3.219757,-3.86438
Right,1,10.16797,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70482* 0.14124* -0.09551* 0.68859),19.92734,1.736145,(0.53014* -0.47560* 0.53825* -0.45061),3.39917,-3.928497
Right,1,10.19644,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.70151* 0.15237* -0.10163* 0.68873),21.36261,1.431217,(0.52788* -0.47765* 0.53821* -0.45114),3.637268,-4.188171
Right,1,10.2237,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.69730* 0.16200* -0.10750* 0.68991),22.65906,0.9807796,(0.52610* -0.47897* 0.53866* -0.45128),3.843933,-4.330261
Right,1,10.2514,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.69918* 0.17209* -0.11239* 0.68477),23.89215,1.488557,(0.52387* -0.48040* 0.53922* -0.45168),4.074219,-4.510498
Right,1,10.27975,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.69434* 0.18151* -0.11712* 0.68646),25.08365,0.9201045,(0.52038* -0.48337* 0.53762* -0.45445),4.241241,-5.117584
Right,1,10.30741,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.68987* 0.19018* -0.11964* 0.68819),26.03107,0.3440003,(0.51791* -0.48557* 0.53661* -0.45611),4.389984,-5.525635
Right,1,10.33507,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.68894* 0.20262* -0.12353* 0.68487),27.39557,0.4033442,(0.51599* -0.48734* 0.53628* -0.45679),4.565308,-5.780823
Right,1,10.3631,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.68326* 0.21712* -0.12668* 0.68554),28.88748,-0.292696,(0.51428* -0.48888* 0.53630* -0.45706),4.754303,-5.964691
Right,1,10.39076,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.67979* 0.22510* -0.13313* 0.68520),30.10605,-0.553534,(0.51265* -0.49032* 0.53616* -0.45751),4.91391,-6.161102
Right,1,10.41884,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.67962* 0.23567* -0.13488* 0.68146),31.14127,-0.4474301,(0.51055* -0.49242* 0.53508* -0.45886),5.04834,-6.530151
Right,1,10.44622,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.67156* 0.24550* -0.13848* 0.68524),32.29312,-1.497637,(0.50874* -0.49420* 0.53453* -0.45960),5.203888,-6.797058
Right,1,10.47416,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.66593* 0.24959* -0.14506* 0.68789),33.21597,-2.078013,(0.50810* -0.49495* 0.53497* -0.45899),5.346252,-6.804535
Right,1,10.50236,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.66573* 0.25966* -0.14631* 0.68409),34.16742,-1.992229,(0.50717* -0.49642* 0.53423* -0.45929),5.444305,-6.996307
Right,1,10.52991,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.66119* 0.27051* -0.15123* 0.68322),35.51776,-2.40893,(0.50588* -0.49792* 0.53342* -0.46004),5.536743,-7.238617
Right,1,10.5578,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.65803* 0.27599* -0.15703* 0.68277),36.49127,-2.6041,(0.50549* -0.49848* 0.53337* -0.45990),5.601379,-7.28302
Right,1,10.58569,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.65448* 0.28686* -0.15968* 0.68108),37.65143,-2.949534,(0.50432* -0.49975* 0.53269* -0.46060),5.681061,-7.496338
Right,1,10.6132,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.64838* 0.29476* -0.16619* 0.68199),38.91269,-3.516348,(0.50271* -0.50137* 0.53185* -0.46157),5.787018,-7.777466
Right,1,10.64116,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.64604* 0.30155* -0.17010* 0.68027),39.83997,-3.634885,(0.50241* -0.50176* 0.53197* -0.46134),5.848907,-7.792053
Right,1,10.66865,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.64143* 0.31421* -0.17474* 0.67772),41.34409,-4.007678,(0.50145* -0.50272* 0.53156* -0.46180),5.923218,-7.945709
Right,1,10.69715,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.63503* 0.32201* -0.18333* 0.67782),42.80389,-4.470718,(0.50075* -0.50359* 0.53148* -0.46171),6.021362,-8.027161
Right,1,10.72475,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.62902* 0.33227* -0.18901* 0.67691),44.22113,-4.981633,(0.50032* -0.50427* 0.53115* -0.46181),6.069397,-8.113037
Right,1,10.75223,(-0.73998* 0.01020* 0.01286* 0.67243),(-0.62212* 0.34561* -0.19342* 0.67536),45.80338,-5.646198,(0.49993* -0.50492* 0.53086* -0.46186),6.116547,-8.188965
