Direction,tCount,Time,StartRotation,HeadRotation,HeadYaw,HeadPitch,TrunkRotation,TrunkYaw,TrunkPitch
DownLeft,1,14.43364,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.04011* -0.02239* 0.01335* -0.99886),0.0,-0.0,(0.00843* -0.19230* -0.01597* -0.98117),0.0,-0.0
DownLeft,1,14.46027,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03976* -0.02229* 0.01325* -0.99887),-0.01035964,0.03977299,(0.00859* -0.19231* -0.01609* -0.98117),-0.000415802,-0.01049232
DownLeft,1,14.48782,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03933* -0.02236* 0.01298* -0.99889),-0.001505494,0.08910918,(0.00869* -0.19231* -0.01602* -0.98117),-4.386902e-05,-0.0007176399
DownLeft,1,14.51655,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03916* -0.02227* 0.01280* -0.99890),-0.01228178,0.1086686,(0.00881* -0.19223* -0.01631* -0.98118),-0.01122665,-0.03123713
DownLeft,1,14.54307,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03881* -0.02226* 0.01280* -0.99892),-0.01224756,0.1486592,(0.00873* -0.19169* -0.02179* -0.98118),-0.1051331,-0.6547508
DownLeft,1,14.57117,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03847* -0.02251* 0.01254* -0.99893),0.01659679,0.1879969,(0.00873* -0.19115* -0.02001* -0.98132),-0.1574306,-0.4535003
DownLeft,1,14.59911,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03820* -0.02277* 0.01245* -0.99893),0.04622519,0.2177711,(0.00890* -0.19097* -0.01915* -0.98137),-0.1736031,-0.3533611
DownLeft,1,14.62644,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03787* -0.02283* 0.01184* -0.99895),0.05348754,0.2562351,(0.00905* -0.19115* -0.01972* -0.98132),-0.1559467,-0.4141712
DownLeft,1,14.65466,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03743* -0.02291* 0.01183* -0.99897),0.06352723,0.3062227,(0.00895* -0.19150* -0.02023* -0.98124),-0.1182404,-0.4742551
DownLeft,1,14.68229,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03708* -0.02291* 0.01200* -0.99898),0.0643487,0.3466492,(0.00887* -0.19168* -0.02058* -0.98120),-0.0997715,-0.5143118
DownLeft,1,14.71017,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03708* -0.02282* 0.01191* -0.99898),0.05395305,0.3464317,(0.00891* -0.19168* -0.02085* -0.98120),-0.1009312,-0.5445962
DownLeft,1,14.73793,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03726* -0.02273* 0.01174* -0.99898),0.04314578,0.3259993,(0.00879* -0.19168* -0.02101* -0.98119),-0.1016827,-0.5643816
DownLeft,1,14.76581,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03744* -0.02273* 0.01165* -0.99897),0.04273486,0.3057854,(0.00877* -0.19177* -0.02109* -0.98117),-0.0920639,-0.5743966
DownLeft,1,14.79371,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03753* -0.02264* 0.01148* -0.99897),0.03193545,0.2953517,(0.00872* -0.19176* -0.02090* -0.98118),-0.0912838,-0.5541248
DownLeft,1,14.8216,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03771* -0.02237* 0.01130* -0.99897),0.001129508,0.274919,(0.00869* -0.19159* -0.02107* -0.98121),-0.112051,-0.5741529
DownLeft,1,14.84898,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03763* -0.02210* 0.01111* -0.99899),-0.02965462,0.2844775,(0.00866* -0.19151* -0.02125* -0.98122),-0.1228123,-0.5941806
DownLeft,1,14.87714,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03764* -0.02166* 0.01101* -0.99900),-0.08004904,0.2842593,(0.00870* -0.19134* -0.02107* -0.98126),-0.1420441,-0.5741529
DownLeft,1,14.90485,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03799* -0.02131* 0.01074* -0.99899),-0.1212673,0.2436113,(0.00877* -0.19108* -0.02117* -0.98131),-0.1724453,-0.5844102
DownLeft,1,14.93214,(-0.01976* -0.01097* 0.02097* -0.99952),(-0.03834* -0.02106* 0.01100* -0.99898),-0.1501141,0.2042782,(0.00889* -0.19118* -0.02191* -0.98127),-0.1655445,-0.6652536
