Direction,tCount,Time,StartRotation,HeadRotation,HeadYaw,HeadPitch,TrunkRotation,TrunkYaw,TrunkPitch
DownLeft,1,4.511938,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06773* -0.03323* 0.00191* 0.99715),0,0,(0.02579* 0.09096* 0.07230* -0.99289),0,0
DownLeft,1,4.549356,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06782* -0.03366* 0.00186* 0.99713),-0.04879761,0.01062942,(0.02569* 0.09104* 0.07238* -0.99288),-0.009063721,-0.009277344
DownLeft,1,4.595757,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06781* -0.03367* 0.00203* 0.99713),-0.05117798,0.009322166,(0.02561* 0.09103* 0.07229* -0.99289),-0.01031494,0.001678467
DownLeft,1,4.625403,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06790* -0.03358* 0.00194* 0.99713),-0.03994751,0.01995552,(0.02580* 0.09087* 0.07221* -0.99291),0.008880615,0.01010132
DownLeft,1,4.648195,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06799* -0.03340* 0.00193* 0.99712),-0.0199585,0.02993375,(0.02579* 0.09087* 0.07230* -0.99290),0.009979248,0
DownLeft,1,4.675421,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06789* -0.03333* 0.00218* 0.99713),-0.01351929,0.01799536,(0.02578* 0.09087* 0.07239* -0.99289),0.01107788,-0.01013184
DownLeft,1,4.704194,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.06815* 0.03351* -0.00229* -0.99711),-0.03469849,0.04727572,(0.02612* 0.09087* 0.07154* -0.99295),0.0006103516,0.08834839
DownLeft,1,4.7323,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06860* -0.03418* 0.00192* 0.99706),-0.1087036,0.1004339,(0.02594* 0.09060* 0.07187* -0.99295),0.03466797,0.04962158
DownLeft,1,4.760103,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06889* -0.03552* 0.00124* 0.99699),-0.2579346,0.1362621,(0.02604* 0.09077* 0.07153* -0.99296),0.01046753,0.08917236
DownLeft,1,4.788557,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06925* -0.03610* 0.00095* 0.99695),-0.3231812,0.178796,(0.02572* 0.09111* 0.07195* -0.99290),-0.02450562,0.04122925
DownLeft,1,4.817172,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06957* -0.03649* 0.00168* 0.99691),-0.3726196,0.2134665,(0.02588* 0.09138* 0.07189* -0.99288),-0.05532837,0.0496521
DownLeft,1,4.852674,(-0.05960* 0.03269* -0.00543* -0.99767),(0.06980* -0.03724* 0.00252* 0.99686),-0.4632568,0.2375172,(0.02572* 0.09174* 0.07241* -0.99281),-0.08892822,-0.01013184
DownLeft,1,4.87338,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.06995* 0.03823* -0.00303* -0.99681),-0.5792236,0.2542108,(0.02570* 0.09183* 0.07258* -0.99279),-0.09674072,-0.03027344
DownLeft,1,4.900726,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.07038* 0.04023* -0.00319* -0.99670),-0.8091125,0.304103,(0.02600* 0.09220* 0.07280* -0.99274),-0.1340027,-0.05383301
DownLeft,1,4.928361,(-0.05960* 0.03269* -0.00543* -0.99767),(0.07117* -0.04263* 0.00296* 0.99655),-1.083038,0.3971691,(0.02620* 0.09280* 0.07214* -0.99272),-0.2124329,0.02523804
DownLeft,1,4.957036,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.07090* 0.04474* -0.00336* -0.99647),-1.32666,0.3652758,(0.02601* 0.09350* 0.07267* -0.99262),-0.2860413,-0.03448486
DownLeft,1,4.98756,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.07112* 0.04669* -0.00411* -0.99637),-1.554932,0.3906534,(0.02598* 0.09385* 0.07276* -0.99258),-0.3249207,-0.0446167
DownLeft,1,5.012422,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.07241* 0.04854* -0.00457* -0.99618),-1.76828,0.5383784,(0.02618* 0.09448* 0.07297* -0.99250),-0.3922729,-0.06732178
DownLeft,1,5.039927,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.07385* 0.05074* -0.00532* -0.99596),-2.025116,0.7041191,(0.02632* 0.09518* 0.07275* -0.99245),-0.4752808,-0.03869629
DownLeft,1,5.068311,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.07477* 0.05285* -0.00588* -0.99578),-2.269653,0.8112925,(0.02646* 0.09571* 0.07278* -0.99239),-0.5350037,-0.04040527
DownLeft,1,5.095896,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.07597* 0.05520* -0.00621* -0.99556),-2.540558,0.9503447,(0.02654* 0.09597* 0.07262* -0.99238),-0.5670166,-0.02105713
DownLeft,1,5.123466,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.07697* 0.05741* -0.00695* -0.99535),-2.797424,1.066211,(0.02647* 0.09692* 0.07264* -0.99228),-0.6770325,-0.02105713
DownLeft,1,5.151756,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.07866* 0.05962* -0.00774* -0.99509),-3.054138,1.261917,(0.02662* 0.09745* 0.07259* -0.99223),-0.7378235,-0.01263428
DownLeft,1,5.179403,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.08036* 0.06251* -0.00834* -0.99477),-3.387177,1.459561,(0.02658* 0.09823* 0.07244* -0.99217),-0.8300171,0.007568359
DownLeft,1,5.207537,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.08260* 0.06570* -0.00857* -0.99438),-3.754059,1.720295,(0.03834* 0.10174* 0.06477* -0.99196),-1.282318,0.9319458
DownLeft,1,5.235749,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.08600* 0.06895* -0.00969* -0.99386),-4.131134,2.114951,(0.03877* 0.10218* 0.06457* -0.99191),-1.334839,0.9582214
DownLeft,1,5.285802,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.09209* 0.07348* -0.01191* -0.99296),-4.657501,2.823205,(0.02694* 0.10031* 0.07175* -0.99200),-1.079071,0.09423828
DownLeft,1,5.309376,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.09677* 0.07640* -0.01323* -0.99228),-4.994598,3.366968,(0.02689* 0.10083* 0.07185* -0.99194),-1.138,0.08413696
DownLeft,1,5.33639,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.09849* 0.07881* -0.01438* -0.99191),-5.274414,3.570828,(0.02722* 0.10154* 0.07156* -0.99188),-1.221802,0.1211853
DownLeft,1,5.36063,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.10064* 0.08157* -0.01561* -0.99145),-5.593872,3.824605,(0.02711* 0.10163* 0.07173* -0.99186),-1.229736,0.1018066
DownLeft,1,5.401522,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.10442* 0.08518* -0.01690* -0.99073),-6.009796,4.26927,(0.02758* 0.10221* 0.07022* -0.99190),-1.318848,0.2802429
DownLeft,1,5.42907,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.10768* 0.08775* -0.01729* -0.99016),-6.305054,4.649742,(0.03732* 0.10485* 0.06175* -0.99187),-1.703339,1.297119
DownLeft,1,5.457632,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.10945* 0.09050* -0.01766* -0.98971),-6.622528,4.859933,(0.03397* 0.10411* 0.06489* -0.99187),-1.584503,0.9211426
DownLeft,1,5.484557,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.10984* 0.09367* -0.01788* -0.98936),-6.989746,4.911087,(0.02908* 0.10320* 0.06857* -0.99187),-1.449493,0.4790649
DownLeft,1,5.512947,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.11248* 0.09624* -0.01834* -0.98881),-7.286407,5.221071,(0.02822* 0.10323* 0.06840* -0.99190),-1.462097,0.4974976
DownLeft,1,5.541204,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.11618* 0.09921* -0.01948* -0.98807),-7.629303,5.65702,(0.02838* 0.10367* 0.06825* -0.99186),-1.514008,0.5160217
DownLeft,1,5.568043,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.12089* 0.10219* -0.02083* -0.98717),-7.97226,6.212106,(0.02848* 0.10446* 0.06847* -0.99176),-1.601532,0.4941711
DownLeft,1,5.596204,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.12565* 0.10578* -0.02247* -0.98616),-8.387177,6.775938,(0.02864* 0.10490* 0.06832* -0.99172),-1.653381,0.5126953
DownLeft,1,5.623746,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.13081* 0.11015* -0.02429* -0.98497),-8.891296,7.389694,(0.03258* 0.10642* 0.06589* -0.99160),-1.843231,0.8105469
DownLeft,1,5.652168,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.13562* 0.11466* -0.02596* -0.98376),-9.412994,7.964786,(0.03032* 0.10609* 0.06749* -0.99160),-1.793762,0.6181335
DownLeft,1,5.679564,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.14111* 0.11930* -0.02761* -0.98239),-9.950989,8.620956,(0.02848* 0.10523* 0.06806* -0.99171),-1.697021,0.5446777
DownLeft,1,5.707499,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.14723* 0.12341* -0.02982* -0.98092),-10.42496,9.35329,(0.02831* 0.10420* 0.06608* -0.99196),-1.611969,0.7711487
DownLeft,1,5.735621,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.15274* 0.12801* -0.03192* -0.97942),-10.95673,10.01702,(0.02831* 0.10380* 0.06458* -0.99210),-1.591064,0.9445801
DownLeft,1,5.763018,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.15715* 0.13255* -0.03357* -0.97806),-11.4848,10.55347,(0.02823* 0.10351* 0.06386* -0.99217),-1.570221,1.027039
DownLeft,1,5.790997,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.15810* 0.13717* -0.03514* -0.97722),-12.02289,10.68832,(0.02829* 0.10281* 0.06105* -0.99242),-1.536102,1.352844
DownLeft,1,5.820962,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.16069* 0.14188* -0.03664* -0.97607),-12.57339,11.01522,(0.02826* 0.10267* 0.05973* -0.99252),-1.543091,1.506104
DownLeft,1,5.846144,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.16404* 0.14722* -0.03762* -0.97468),-13.20154,11.42741,(0.04062* 0.11179* 0.05288* -0.99149),-2.650696,2.376282
DownLeft,1,5.873725,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.16664* 0.15285* -0.03833* -0.97334),-13.86703,11.75159,(0.04285* 0.11069* 0.03864* -0.99218),-2.778198,4.044067
DownLeft,1,5.912,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.16981* 0.15847* -0.03874* -0.97188),-14.53522,12.13871,(0.04440* 0.11289* 0.04058* -0.99178),-2.99292,3.835052
DownLeft,1,5.944298,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.17325* 0.16736* -0.03943* -0.96975),-15.59634,12.56881,(0.04504* 0.11371* 0.03929* -0.99171),-3.110382,3.992798
DownLeft,1,5.970957,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.17521* 0.17251* -0.04090* -0.96844),-16.20471,12.82703,(0.04394* 0.11531* 0.03697* -0.99167),-3.342865,4.268219
DownLeft,1,5.999077,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.17854* 0.17774* -0.04200* -0.96684),-16.83057,13.23982,(0.04440* 0.11491* 0.03386* -0.99181),-3.354523,4.632843
DownLeft,1,6.02668,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.18281* 0.18298* -0.04408* -0.96496),-17.45517,13.77682,(0.04520* 0.12124* 0.07534* -0.98873),-3.301361,-0.1911621
DownLeft,1,6.054803,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.18940* 0.18791* -0.04627* -0.96264),-18.0495,14.58567,(0.04598* 0.12297* 0.08102* -0.98803),-3.389191,-0.8457031
DownLeft,1,6.082428,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.19603* 0.19290* -0.04823* -0.96023),-18.65787,15.39694,(0.04255* 0.12282* 0.07382* -0.98876),-3.533447,-0.01257324
DownLeft,1,6.109788,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.20369* 0.19824* -0.04974* -0.95747),-19.32037,16.32406,(0.04355* 0.12294* 0.06983* -0.98900),-3.614166,0.4588623
DownLeft,1,6.138636,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.20981* 0.20311* -0.05108* -0.95505),-19.92801,17.07033,(0.04592* 0.12212* 0.06010* -0.98963),-3.688904,1.604553
DownLeft,1,6.166383,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.21394* 0.20817* -0.05277* -0.95295),-20.55002,17.5922,(0.04670* 0.12202* 0.05590* -0.98985),-3.753632,2.099426
DownLeft,1,6.193282,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.22155* 0.21263* -0.05485* -0.95010),-21.11664,18.52556,(0.04808* 0.11746* 0.03178* -0.99140),-3.683044,4.907257
DownLeft,1,6.222322,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.22946* 0.21779* -0.05555* -0.94701),-21.7948,19.47182,(0.04828* 0.11780* 0.02998* -0.99141),-3.757629,5.120636
DownLeft,1,6.249709,(-0.05960* 0.03269* -0.00543* -0.99767),(-0.23250* 0.22274* -0.05553* -0.94512),-22.43338,19.83646,(0.04844* 0.11863* 0.02917* -0.99133),-3.869202,5.221466
DownLeft,1,6.277123,(-0.05960* 0.03269* -0.00543* -0.99767),(0.23595* -0.22772* 0.05534* 0.94308),-23.08542,20.24361,(0.04864* 0.11953* 0.02810* -0.99124),-3.994293,5.352844
