Direction,tCount,Time,StartRotation,HeadRotation,HeadYaw,HeadPitch,TrunkRotation,TrunkYaw,TrunkPitch
DownLeft,1,12.42833,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31915* -0.63803* -0.61285* -0.33981),0,0,(-0.51201* 0.49497* -0.49787* 0.49494),0,0
DownLeft,1,12.45517,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31920* -0.63801* -0.61276* -0.33998),-0.0103147,-0.001326084,(-0.51205* 0.49502* -0.49783* 0.49490),-7.629395E-06,0
DownLeft,1,12.48284,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31919* -0.63807* -0.61275* -0.33988),-0.007074863,-0.008993149,(-0.51205* 0.49502* -0.49783* 0.49490),-7.629395E-06,0
DownLeft,1,12.51099,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31924* -0.63811* -0.61271* -0.33983),-0.003086329,-0.01836061,(-0.51205* 0.49502* -0.49783* 0.49490),-7.629395E-06,0
DownLeft,1,12.53832,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31924* -0.63811* -0.61271* -0.33983),-0.002898097,-0.01877546,(-0.51218* 0.49497* -0.49778* 0.49486),-0.01387024,0.01159668
DownLeft,1,12.566,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31936* -0.63790* -0.61287* -0.33982),0.02027163,0.003546238,(-0.51218* 0.49506* -0.49761* 0.49494),-0.03663635,-0.006378174
DownLeft,1,12.5935,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31925* -0.63805* -0.61278* -0.33981),0.004320383,-0.01018715,(-0.51214* 0.49510* -0.49765* 0.49490),-0.01976776,-0.008087158
DownLeft,1,12.62197,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31942* -0.63811* -0.61266* -0.33976),0.01364225,-0.0317626,(-0.51206* 0.49510* -0.49774* 0.49490),-0.002929688,-0.00982666
DownLeft,1,12.64933,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31945* -0.63797* -0.61286* -0.33962),0.03832567,-0.01306581,(-0.51201* 0.49515* -0.49770* 0.49494),-0.005874634,-0.01965332
DownLeft,1,12.6775,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31945* -0.63790* -0.61294* -0.33962),0.04461452,-0.002438545,(-0.51201* 0.49515* -0.49770* 0.49494),-0.005874634,-0.01965332
DownLeft,1,12.70509,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31955* -0.63783* -0.61296* -0.33963),0.05457214,-0.0001344681,(-0.51206* 0.49510* -0.49774* 0.49490),-0.002929688,-0.00982666
DownLeft,1,12.73312,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31956* -0.63799* -0.61279* -0.33962),0.04343358,-0.02475452,(-0.51201* 0.49515* -0.49779* 0.49485),0.01385498,-0.01153564
DownLeft,1,12.76092,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31956* -0.63806* -0.61271* -0.33962),0.03681776,-0.03463745,(-0.51201* 0.49515* -0.49787* 0.49477),0.03366089,-0.003448486
DownLeft,1,12.78853,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31956* -0.63800* -0.61272* -0.33973),0.03294545,-0.02584743,(-0.51201* 0.49524* -0.49770* 0.49485),0.0109024,-0.02139282
DownLeft,1,12.81617,(-0.32899* 0.66073* 0.58833* 0.33026),(0.31952* -0.63804* -0.61274* -0.33966),0.03423268,-0.02878094,(-0.51193* 0.49524* -0.49770* 0.49494),0.007949829,-0.03125
