Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Right,1,0,0,0,0,0,0
Right,1,-0.0006563663,-0.009945352,5.447865E-05,0.0107975,0.001370639,-0.02215576
Right,1,-0.02341557,-0.009980537,-0.01806509,0.02158546,-0.01725693,-0.04431152
Right,1,-0.01463318,-0.009879999,-0.0087744,0.06035233,-0.03340517,-0.0307312
Right,1,0.01376414,-0.0104817,-0.001143813,0.07065201,-0.02668209,-0.04156494
Right,1,0.0049541,-0.01929335,0.01966608,0.09028816,-0.03245735,-0.04046631
Right,1,-0.01916194,-0.008424748,0.02175951,0.08000755,-0.01916288,-0.02963257
Right,1,-0.02136564,-0.01876616,0.01189351,0.07016182,-0.02129321,-0.0302124
Right,1,0.01390791,-0.02005776,0.008858323,0.06035805,-0.003406644,-0.0307312
Right,1,0.08520865,-0.03262329,0.003749847,0.06918144,0.009457007,-0.007537842
Right,1,0.1679888,0.01181605,-0.06057966,0.0770359,0.04314178,0.03845215
Right,1,0.3171041,-0.01059033,-0.223711,0.07504082,0.09466398,0.08380127
Right,1,0.5202811,0.02450847,-0.3890356,0.08077049,0.1698926,0.1751404
Right,1,0.7000251,-0.004173741,-0.6378281,0.09836197,0.2257705,0.2216797
Right,1,0.8103738,0.08602985,-0.9492288,0.06895065,0.2592587,0.2199707
Right,1,0.9219227,0.05951042,-1.380265,0.04055214,0.2619889,0.1955261
Right,1,1.225263,-0.007289976,-1.813354,0.0668869,0.2807688,0.2652893
Right,1,1.494228,-0.01134021,-2.366241,0.04569817,0.2925535,0.2981567
Right,1,1.855642,-0.03555822,-2.956268,0.0637722,0.3330487,0.3333435
Right,1,2.306792,-0.1592712,-3.546753,0.06429482,0.3376968,0.322052
Right,1,2.811592,-0.3781128,-4.236237,0.04414749,0.3386796,0.3321838
Right,1,3.345916,-0.5362244,-5.076263,0.04309273,0.3594487,0.3548889
Right,1,3.968832,-0.7510071,-5.931763,0.03384399,0.371886,0.3429871
Right,1,4.710388,-1.111755,-6.971039,0.04310036,0.3794452,0.3549194
Right,1,5.478967,-1.431396,-8.036194,0.04152298,0.4255774,0.388916
Right,1,6.244707,-1.679474,-9.142426,0.03227425,0.4080111,0.3770142
Right,1,6.949434,-2.14978,-10.38641,0.04776573,0.2710556,0.2528381
Right,1,7.689882,-2.608002,-11.78305,0.1210232,0.117715,0.1546936
Right,1,8.450884,-2.954834,-13.15073,0.1540127,0.006407678,0.07696533
Right,1,9.290423,-3.579407,-14.64185,0.1864567,-0.04963575,0.01049805
Right,1,10.12832,-4.203217,-16.10413,0.1977711,-0.07373561,-0.02301025
Right,1,10.92294,-4.750702,-17.55753,0.2498055,-0.1156794,-0.08843994
Right,1,11.80721,-5.334137,-18.91592,0.2718735,-0.1485983,-0.144165
Right,1,12.59064,-6.070343,-20.28201,0.313612,-0.1773898,-0.1988525
Right,1,13.34661,-6.693207,-21.54047,0.3450012,-0.2229004,-0.2427063
Right,1,14.07194,-7.27887,-22.69202,0.2277298,0.677399,0.4001465
Right,1,14.70557,-7.772644,-23.8118,0.2478428,0.6863761,0.3899841
Right,1,15.25705,-8.279053,-24.92926,0.2820377,0.5941416,0.2894897
Right,1,15.79136,-8.773682,-26.04706,0.3434963,0.5500294,0.236145
Right,1,16.17722,-9.223053,-27.13455,0.4033394,0.2563161,0.0001220703
Right,1,16.63836,-9.555664,-28.08517,0.4495964,0.1182978,-0.1570435
Right,1,16.94013,-9.92569,-29.11179,0.4436073,0.3339124,-0.02038574
Right,1,17.24563,-10.28894,-30.11462,0.4745541,0.3438655,-0.05285645
Right,1,17.52245,-10.55835,-30.97009,0.5374813,0.2626906,-0.1406555
Right,1,17.813,-10.78659,-31.77478,0.7157898,-0.3667908,-0.6339111
Right,1,18.03781,-11.12778,-32.71234,0.86063,-0.921936,-1.061615
Right,1,18.18096,-11.4545,-33.82123,0.9715061,-1.014191,-1.124969
Right,1,18.27294,-11.98761,-35.0621,1.080294,-1.058655,-1.131073
Right,1,18.40875,-12.1535,-36.22552,1.119219,-1.085358,-1.117676
Right,1,18.51463,-12.4971,-37.14902,1.150488,-1.112091,-1.162048
