Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Right,1,0,0,0,0,0,0
Right,1,0.05026245,-0.133606,0.05944824,0.000161171,-0.02682495,0.0300293
Right,1,0.07046509,-0.2593994,0.09912109,0.02029324,-0.003631592,0.05993652
Right,1,0.06048584,-0.2683411,0.1091003,0.020293,-0.01361084,0.05993652
Right,1,0.05056763,-0.2262268,0.1290283,0.03026628,0.03527832,0.04989624
Right,1,-0.02941895,-0.1261902,0.129364,0.06010342,0.1021118,0.01971436
Right,1,-0.05960083,-0.02044678,0.0897522,0.07026339,0.1652832,0.04968262
Right,1,-0.06973267,0.1163635,0.05996704,0.0805788,0.2216492,0.1096802
Right,1,-0.02984619,0.223175,0.02996826,0.1003144,0.2863464,0.05950928
Right,1,0.02996826,0.3689575,-0.0100708,0.100261,0.3252869,0.04949951
Right,1,0.02987671,0.5068359,-0.02996826,0.09031487,0.366333,0.05957031
Right,1,0.09997559,0.6389465,-0.01040649,0.2094874,0.2903748,-0.09121704
Right,1,0.1899414,0.8178711,-0.02075195,0.3189116,0.2397156,-0.1919556
Right,1,0.1598816,1.106812,-0.0305481,0.3287046,0.3554382,-0.2320557
Right,1,0.1199036,1.467896,-0.02041626,0.3586435,0.5343933,-0.2422485
Right,1,0.139801,1.915771,-0.04040527,0.3690224,0.7018127,-0.1722107
Right,1,0.1896973,2.422577,-0.07046509,0.3792768,0.9560547,-0.1322327
Right,1,0.2093811,2.996216,-0.130249,0.389276,1.166046,-0.1322937
Right,1,0.1394348,3.657288,-0.1199646,0.3995299,1.531372,-0.08227539
Right,1,0.1594543,4.387268,-0.1200562,0.3788755,1.998627,-0.2023315
Right,1,0.2290955,5.289856,-0.1900024,0.3991909,2.785004,-0.1423645
Right,1,0.1890869,6.148804,-0.1997681,0.3297279,3.354584,-0.05184937
Right,1,0.1084595,7.146057,-0.3186951,0.2991991,3.88504,-0.1417847
Right,1,0.138031,8.147583,-0.398407,0.3088541,4.208649,-0.2019043
Right,1,0.2580872,10.03864,-0.3890991,0.3295627,5.251404,-0.08187866
Right,1,0.2581787,11.34076,-0.3692017,0.3298385,6.006714,-0.03182983
Right,1,0.2281494,12.79971,-0.3789978,0.2995927,6.912476,-0.07171631
Right,1,0.2884827,14.24713,-0.3096619,0.172056,7.773499,0.4094849
Right,1,0.2886963,15.80136,-0.2698669,0.2108796,8.548004,0.1690369
Right,1,0.2391968,17.35199,-0.170166,-0.1187706,9.075531,0.2407532
Right,1,0.2891846,18.96198,-0.1704102,-0.2593708,9.832825,0.12146
Right,1,0.3592834,20.66409,-0.1508484,-0.3788793,10.51349,0.2220764
Right,1,0.3995361,22.3494,-0.1012878,-0.1574023,11.71634,0.5310669
Right,1,0.409729,24.12363,-0.06155396,0.1435378,12.94965,0.749939
Right,1,0.4097595,25.8447,-0.05160522,1.697269,14.21194,2.088745
Right,1,0.4597778,28.4447,-0.05181885,0.04325747,14.93225,0.6802979
Right,1,0.5695496,31.05939,-0.1021118,-0.02639771,16.59183,0.7706299
Right,1,0.6195679,32.83044,-0.09237671,-0.01653314,17.05756,0.7305603
Right,1,0.5994263,35.4762,-0.1321106,-0.006399155,18.34183,0.7705383
Right,1,0.5591431,37.19092,-0.1816711,1.269477,18.54227,-2.624878
Right,1,0.6589661,38.86667,-0.2219849,1.707486,19.21954,-3.693542
Right,1,0.7485046,40.4371,-0.3120117,1.796516,20.07095,-3.774933
Right,1,0.9379883,41.7865,-0.4125671,1.895351,20.89133,-3.866547
Right,1,1.086945,42.98633,-0.6026611,1.897583,21.6004,-3.685822
Right,1,1.146179,43.92255,-0.7325134,1.949775,22.2894,-3.505676
Right,1,1.216156,44.71146,-0.7428894,2.029525,22.94717,-3.526733
Right,1,1.195953,45.39828,-0.7726746,2.028686,23.41977,-3.597015
Right,1,1.145905,45.98724,-0.7823181,2.13942,24.03601,-3.538086
Right,1,1.205322,46.64664,-0.8823242,2.240566,24.52649,-3.438812
Right,1,1.285156,47.21451,-0.9027405,2.342441,25.03333,-3.279205
Right,1,1.295898,47.93723,-0.7832336,2.433569,25.54385,-3.179718
Right,1,1.265778,48.68512,-0.8029785,2.47435,25.97122,-3.109833
Right,1,1.315796,49.43509,-0.8032837,2.514678,26.40436,-3.080109
Right,1,1.396027,50.01935,-0.7638855,0.8023615,27.00076,0.4766846
Right,1,1.456177,50.63251,-0.7343445,0.6945515,27.45822,1.018219
Right,1,1.475769,51.13507,-0.8042297,0.5347362,27.59357,1.068878
Right,1,1.505524,51.58081,-0.8442993,2.807829,28.67673,3.263885
Right,1,1.635101,51.9534,-0.9148865,2.997687,28.95596,3.445129
Right,2,0,0,0,0,0,0
Right,2,-0.01007789,0.03681691,-0.0298288,0.009935856,0.008911133,-0.01010132
Right,2,-0.01018631,0.1136336,-0.05969264,0.009871483,0.01785278,-0.02008057
Right,2,-0.0001782179,0.1946944,-0.04977407,-0.0004491806,0.03256226,-0.07006836
Right,2,-0.0601027,0.2568187,-0.02964921,-0.0005788803,0.0604248,-0.09005737
