Direction,tCount,MaxViewingRange,StartVector,EndVector
Down,1,-18.11686,(0.02* 0.99* -0.10),(-0.23* 0.93* -0.28)
Down,2,-15.49841,(0.00* 0.99* -0.10),(-0.21* 0.94* -0.26)
Down,3,-13.79454,(0.00* 0.99* -0.10),(-0.19* 0.95* -0.24)
UpRight,1,20.44035,(0.00* 1.00* -0.10),(0.06* 0.97* 0.25)
UpRight,2,21.12904,(0.01* 1.00* -0.10),(0.07* 0.96* 0.26)
UpRight,3,20.65174,(0.01* 1.00* -0.08),(0.08* 0.96* 0.27)
Right,1,49.05125,(0.05* 1.00* -0.09),(-0.41* 0.73* 0.55)
Right,2,49.8222,(0.01* 1.00* -0.08),(-0.44* 0.70* 0.57)
Right,3,48.9132,(0.02* 1.00* -0.09),(-0.43* 0.72* 0.55)
Up,1,-21.80104,(0.01* 1.00* -0.07),(0.32* 0.94* 0.14)
Up,2,19.19114,(0.02* 1.00* -0.07),(0.29* 0.95* 0.12)
Up,3,18.7228,(0.03* 1.00* -0.07),(0.29* 0.95* 0.12)
DownLeft,1,-26.7478,(0.04* 1.00* -0.06),(-0.03* 0.87* -0.50)
DownLeft,2,-22.95442,(0.01* 0.99* -0.10),(-0.03* 0.88* -0.48)
DownLeft,3,-21.17839,(0.00* 1.00* -0.10),(-0.03* 0.89* -0.45)
Left,1,-50.21198,(0.02* 1.00* -0.08),(0.49* 0.58* -0.65)
Left,2,-53.41939,(0.03* 1.00* -0.09),(0.51* 0.52* -0.68)
Left,3,-52.66259,(0.03* 1.00* -0.08),(0.51* 0.54* -0.67)
DownRight,1,26.15215,(0.04* 0.99* -0.11),(-0.40* 0.92* -0.03)
DownRight,2,23.26396,(0.00* 1.00* -0.10),(-0.39* 0.92* -0.03)
DownRight,3,23.77237,(0.02* 0.99* -0.11),(-0.38* 0.93* -0.03)
UpLeft,1,-34.57012,(0.02* 0.99* -0.11),(0.58* 0.80* -0.16)
UpLeft,2,-34.87524,(0.03* 0.99* -0.10),(0.59* 0.79* -0.16)
UpLeft,3,-36.48652,(0.03* 0.99* -0.10),(0.61* 0.77* -0.16)
