Direction,tCount,MaxViewingRange,StartVector,EndVector
UpRight,1,65.33663,(0.56* -0.09* 0.83),(0.81* 0.58* 0.02)
UpRight,2,71.08147,(0.59* -0.05* 0.80),(0.76* 0.63* -0.12)
UpRight,3,81.48317,(0.58* -0.06* 0.81),(0.70* 0.66* -0.27)
Right,1,80.93515,(0.59* -0.05* 0.80),(0.89* 0.00* -0.46)
Right,2,81.7383,(0.58* -0.05* 0.81),(0.89* 0.00* -0.46)
Right,3,83.05446,(0.60* -0.05* 0.80),(0.87* 0.01* -0.50)
Up,1,-65.99608,(0.61* -0.07* 0.79),(0.30* 0.88* 0.36)
Up,2,59.75985,(0.58* -0.06* 0.82),(0.35* 0.83* 0.43)
Up,3,59.80096,(0.57* -0.06* 0.82),(0.35* 0.83* 0.43)
DownLeft,1,-66.39245,(0.58* -0.05* 0.81),(-0.29* -0.70* 0.66)
DownLeft,2,-65.00576,(0.60* -0.06* 0.80),(-0.27* -0.68* 0.68)
DownLeft,3,-67.28637,(0.59* -0.06* 0.80),(-0.30* -0.70* 0.65)
Left,1,-72.89329,(0.58* -0.07* 0.81),(-0.61* -0.02* 0.80)
Left,2,-70.84879,(0.56* -0.04* 0.83),(-0.60* -0.02* 0.80)
Left,3,-71.70807,(0.57* -0.06* 0.82),(-0.60* 0.00* 0.80)
DownRight,1,61.89493,(0.57* -0.06* 0.82),(0.79* -0.61* -0.02)
DownRight,2,66.30146,(0.62* -0.05* 0.78),(0.76* -0.64* -0.13)
DownRight,3,66.77651,(0.62* -0.07* 0.78),(0.75* -0.64* -0.15)
UpLeft,1,-76.11796,(0.58* -0.07* 0.81),(-0.37* 0.69* 0.62)
UpLeft,2,-71.90623,(0.58* -0.07* 0.81),(-0.32* 0.67* 0.67)
UpLeft,3,-73.23871,(0.59* -0.06* 0.80),(-0.34* 0.67* 0.66)
Down,1,56.45487,(0.61* -0.05* 0.79),(0.33* -0.86* 0.39)
Down,2,47.60753,(0.59* -0.06* 0.81),(0.40* -0.78* 0.49)
Down,3,53.0221,(0.58* -0.06* 0.81),(0.36* -0.83* 0.42)
