Participant,Condition,Direction-1,Direction-2,Direction-3,Direction-4
1,ActuatedBed,Up,Left,Down,Right
1,NormalBed,Up,Left,Down,Right
2,ActuatedBed,Down,Right,Up,Left
2,NormalBed,Down,Right,Up,Left
3,ActuatedBed,Up,Left,Down,Right
3,NormalBed,Up,Left,Down,Right
4,NormalBed,Right,Up,Left,Down
4,ActuatedBed,Right,Up,Left,Down
5,ActuatedBed,Left,Down,Right,Up
5,NormalBed,Left,Down,Right,Up
6,NormalBed,Up,Left,Down,Right
6,ActuatedBed,Up,Left,Down,Right
7,NormalBed,Left,Down,Right,Up
7,ActuatedBed,Left,Down,Right,Up
8,NormalBed,Up,Left,Down,Right
8,ActuatedBed,Up,Left,Down,Right
9,ActuatedBed,Right,Up,Left,Down
9,NormalBed,Right,Up,Left,Down
10,ActuatedBed,Down,Right,Up,Left
10,NormalBed,Down,Right,Up,Left
11,NormalBed,Left,Down,Right,Up
11,ActuatedBed,Left,Down,Right,Up
12,ActuatedBed,Left,Down,Right,Up
12,NormalBed,Left,Down,Right,Up
13,NormalBed,Down,Right,Up,Left
13,ActuatedBed,Down,Right,Up,Left
14,NormalBed,Down,Right,Up,Left
14,ActuatedBed,Down,Right,Up,Left
15,NormalBed,Right,Up,Left,Down
15,ActuatedBed,Right,Up,Left,Down
16,ActuatedBed,Right,Up,Left,Down
16,NormalBed,Right,Up,Left,Down
