Participant,Condition,Application-1,Application-2
1,ActuatedBed,Archery,Ecosphere
1,NormalBed,Archery,Ecosphere
2,ActuatedBed,Archery,Ecosphere
2,NormalBed,Archery,Ecosphere
3,ActuatedBed,Archery,Ecosphere
3,NormalBed,Archery,Ecosphere
4,ActuatedBed,Ecosphere,Archery
4,NormalBed,Ecosphere,Archery
5,NormalBed,Archery,Ecosphere
5,ActuatedBed,Archery,Ecosphere
6,NormalBed,Ecosphere,Archery
6,ActuatedBed,Ecosphere,Archery
7,NormalBed,Ecosphere,Archery
7,ActuatedBed,Ecosphere,Archery
8,ActuatedBed,Ecosphere,Archery
8,NormalBed,Ecosphere,Archery
9,NormalBed,Archery,Ecosphere
9,ActuatedBed,Archery,Ecosphere
10,ActuatedBed,Ecosphere,Archery
10,NormalBed,Ecosphere,Archery
11,NormalBed,Ecosphere,Archery
11,ActuatedBed,Ecosphere,Archery
12,NormalBed,Archery,Ecosphere
12,ActuatedBed,Archery,Ecosphere
13,ActuatedBed,Archery,Ecosphere
13,NormalBed,Archery,Ecosphere
14,NormalBed,Ecosphere,Archery
14,ActuatedBed,Ecosphere,Archery
15,NormalBed,Archery,Ecosphere
15,ActuatedBed,Archery,Ecosphere
16,ActuatedBed,Ecosphere,Archery
16,NormalBed,Ecosphere,Archery
