Direction,Participant,NormalBedRange,ActuatedBedRange
Right,1,9.351464,18.282206666666667
Right,2,1.9314743333333333,17.541823333333333
Right,3,4.639067,10.7742109
Right,4,1.5470276666666667,11.027751666666667
Right,5,13.585458666666668,19.815506666666668
Right,6,1.0494624666666665,9.114641333333333
Right,7,1.0141825,6.582613733333333
Right,8,0.4669525666666667,11.792841666666666
Right,9,4.394398,14.020606666666666
Right,10,-1,-1
Right,11,3.8066093333333337,11.923563333333334
Right,12,24.175563333333333,46.71097666666666
Right,13,6.707379666666667,13.208483333333334
Right,14,1.6993586666666667,8.722147999999999
Right,15,4.614935333333333,10.163811333333333
Right,16,6.032879,16.944916666666668
Up,1,2.312668,3.7920956666666665
Up,2,3.363602,0.8665615999999999
Up,3,2.1345786666666666,0.31571863333333333
Up,4,3.0509876666666664,1.5390089333333332
Up,5,5.502005333333333,0.8564754
Up,6,3.1937486666666666,3.025444633333334
Up,7,1.4213076666666666,1.8045219666666668
Up,8,1.534976366666667,1.7202996666666666
Up,9,2.6551396666666665,1.7597180000000001
Up,10,-1,-1
Up,11,0.9476871666666667,1.6078743333333332
Up,12,7.415439,1.985454
Up,13,5.112877,2.281759
Up,14,4.469760333333333,0.4315699
Up,15,3.556402,2.686761666666667
Up,16,4.852586666666666,3.7215139999999995
Left,1,4.372931,17.492083333333333
Left,2,5.914068666666666,23.50272
Left,3,8.15185,14.339824666666667
Left,4,2.3001020333333333,14.488426666666667
Left,5,15.094866000000001,30.376973333333336
Left,6,1.8871806666666666,12.375103333333334
Left,7,1.7139353333333334,9.225419733333334
Left,8,1.5233296666666665,15.467080000000001
Left,9,3.4991706666666667,5.4523559666666666
Left,10,-1,-1
Left,11,0.8323889333333333,10.732498
Left,12,9.154413333333332,30.250173333333333
Left,13,1.3220924333333333,16.663496666666667
Left,14,0.6251723,12.484536666666665
Left,15,2.1677228333333334,13.643643333333332
Left,16,8.405229666666667,18.796346666666665
Down,1,4.236389666666667,2.7524078999999997
Down,2,5.568022666666667,2.1593549999999997
Down,3,7.644023,1.7612249666666668
Down,4,4.449902,6.170865
Down,5,1.9877140999999998,2.658151
Down,6,1.5264029333333333,0.7553955666666666
Down,7,1.0255509333333332,2.3997896666666665
Down,8,1.8657506666666663,1.3802138666666668
Down,9,5.951597,4.002817
Down,10,-1,-1
Down,11,2.653699,2.628963666666667
Down,12,2.0251353333333335,1.2511006333333332
Down,13,1.9203163333333333,2.5793649999999997
Down,14,4.699145666666666,6.659108666666666
Down,15,6.356528333333333,9.859327966666667
Down,16,5.596337666666667,2.029809333333333
